62m,0.34%,45,122m,0.66%,70
62m,0.69%,45,123m,0.93%,70
62m,0.96%,45,123m,0.48%,70
62m,1.19%,45,123m,0.93%,70
62m,3.51%,45,123m,3.31%,70
63m,0.48%,45,123m,0.47%,70
63m,0.70%,45,124m,0.70%,70
64m,1.44%,45,124m,0.98%,70
66m,2.47%,45,124m,0.24%,70
37m,3.42%,46,124m,0.25%,70
38m,0.49%,48,124m,0.24%,70
39m,0.00%,50,124m,0.25%,70
40m,0.48%,56,125m,0.24%,70
41m,7.11%,65,125m,0.48%,70
42m,1.22%,72,125m,0.48%,70
43m,0.70%,74,125m,0.47%,70
43m,0.97%,70,125m,0.49%,70
43m,0.24%,61,126m,0.24%,70
44m,0.24%,54,126m,0.24%,70
44m,0.24%,49,126m,0.25%,70
44m,0.24%,46,126m,0.25%,70
44m,0.25%,46,126m,0.25%,70
44m,0.25%,46,127m,0.24%,70
44m,0.49%,46,127m,0.48%,70
45m,0.73%,46,127m,0.24%,70
45m,0.24%,46,127m,0.24%,70
46m,3.87%,46,127m,0.98%,70
49m,0.99%,46,128m,0.24%,70
52m,4.19%,48,128m,0.25%,70
55m,21.88%,47,128m,0.25%,70
62m,3.21%,47,128m,0.25%,70
34m,3.70%,49,128m,0.25%,70
37m,2.22%,49,129m,0.25%,70
44m,3.70%,49,129m,0.00%,70
52m,3.46%,49,129m,0.25%,70
58m,3.19%,49,129m,0.00%,70
62m,3.21%,49,129m,0.25%,70
39m,3.46%,49,129m,0.00%,70
45m,3.69%,47,130m,0.24%,70
47m,0.97%,47,130m,0.25%,70
48m,0.49%,47,130m,0.24%,70
48m,0.48%,47,130m,0.24%,70
TIME:44.0542500019,CODE:0
STOP
49m,0.76%,47,131m,1.59%,71
49m,0.23%,47,131m,0.24%,71
49m,0.24%,47,131m,0.24%,71
50m,3.62%,47,131m,3.35%,71
50m,0.24%,47,132m,0.00%,71
50m,0.00%,47,132m,0.24%,71
50m,0.24%,47,132m,0.25%,71
50m,0.00%,47,132m,0.24%,71
53m,0.73%,47,132m,0.00%,71
57m,0.99%,47,133m,0.24%,71
58m,0.50%,49,133m,0.00%,71
60m,0.74%,49,133m,0.24%,71
61m,0.98%,49,133m,0.00%,71
62m,0.49%,49,133m,0.25%,71
63m,0.74%,49,133m,0.00%,71
64m,0.98%,49,134m,0.24%,71
65m,0.49%,49,134m,0.25%,71
66m,0.74%,49,134m,0.00%,71
66m,0.24%,49,134m,0.24%,71
66m,0.24%,49,134m,0.24%,71
66m,0.24%,49,135m,0.25%,71
67m,0.00%,47,135m,0.25%,71
67m,0.24%,47,135m,0.00%,71
67m,0.25%,47,135m,2.20%,71
67m,0.00%,47,135m,0.00%,71
67m,1.96%,47,136m,0.24%,71
34m,0.24%,47,136m,0.24%,71
36m,0.49%,47,136m,0.25%,71
39m,0.74%,47,136m,0.00%,71
41m,0.74%,50,136m,0.00%,71
49m,3.22%,50,136m,0.25%,71
56m,3.21%,48,137m,0.25%,71
61m,3.46%,48,137m,0.50%,71
66m,3.21%,50,137m,0.49%,71
39m,5.66%,48,137m,0.00%,71
48m,4.87%,48,137m,0.25%,71
55m,3.71%,48,138m,0.74%,71
61m,3.46%,50,138m,0.25%,71
36m,3.46%,48,138m,0.00%,71
38m,0.98%,48,138m,0.25%,71
38m,0.49%,48,138m,0.00%,71
TIME:42.5392210484,CODE:0
STOP
39m,0.74%,48,139m,3.99%,72
39m,0.00%,48,139m,0.00%,72
39m,0.97%,48,139m,0.00%,72
39m,0.98%,48,140m,0.24%,72
40m,0.00%,48,140m,0.24%,72
40m,0.00%,48,140m,0.00%,72
40m,0.24%,48,140m,0.00%,72
40m,0.00%,48,140m,0.24%,72
42m,0.48%,48,140m,3.42%,72
45m,5.41%,48,141m,0.25%,72
48m,1.99%,50,141m,0.00%,72
48m,0.24%,50,141m,1.46%,72
49m,0.49%,50,141m,0.00%,72
50m,0.49%,50,141m,0.00%,72
51m,0.25%,50,141m,0.25%,72
52m,0.25%,50,142m,0.25%,72
53m,0.74%,50,142m,0.00%,72
54m,0.00%,50,142m,0.25%,72
55m,0.97%,49,142m,0.24%,72
55m,0.00%,49,142m,0.24%,72
56m,0.24%,48,143m,0.24%,72
56m,0.24%,48,143m,0.24%,72
56m,0.00%,48,143m,0.24%,72
56m,0.72%,48,143m,0.72%,72
56m,0.25%,48,143m,0.00%,72
57m,0.00%,48,143m,0.24%,72
59m,0.30%,48,144m,0.00%,72
62m,0.74%,50,144m,0.49%,72
64m,0.74%,51,144m,0.00%,72
36m,3.20%,51,144m,0.25%,72
44m,3.47%,51,144m,0.00%,72
53m,5.68%,51,145m,0.25%,72
59m,3.71%,51,145m,0.00%,72
35m,3.71%,51,145m,0.00%,72
42m,3.46%,49,145m,0.25%,72
46m,3.45%,51,145m,2.22%,72
54m,3.46%,51,145m,0.00%,72
59m,3.45%,51,147m,0.25%,72
61m,0.99%,48,147m,1.48%,72
61m,0.25%,49,147m,5.96%,72
61m,0.24%,48,147m,0.24%,72
TIME:42.1158909798,CODE:0
STOP
62m,6.41%,49,150m,4.55%,73
62m,1.42%,49,150m,0.00%,73
63m,0.24%,49,150m,0.24%,73
63m,0.24%,50,150m,0.24%,73
63m,0.00%,50,151m,0.24%,73
63m,0.24%,50,151m,0.48%,73
63m,0.00%,50,151m,0.00%,73
64m,0.24%,50,151m,0.24%,73
65m,0.49%,50,151m,0.24%,73
37m,1.98%,50,152m,0.00%,73
39m,0.49%,51,152m,0.24%,73
40m,0.49%,52,152m,0.00%,73
41m,0.49%,52,152m,0.25%,73
42m,0.24%,52,152m,0.00%,73
42m,0.49%,52,152m,0.00%,73
43m,0.49%,52,153m,0.00%,73
44m,0.49%,52,153m,0.24%,73
45m,0.25%,52,153m,0.00%,73
46m,0.49%,52,153m,0.24%,73
46m,0.24%,52,153m,0.24%,73
47m,0.24%,50,153m,0.00%,73
47m,0.24%,50,154m,0.24%,73
47m,0.24%,50,154m,0.24%,73
47m,0.24%,50,154m,0.24%,73
47m,0.00%,50,154m,0.00%,73
48m,0.00%,50,154m,0.00%,73
49m,0.49%,51,155m,0.25%,73
53m,0.74%,50,155m,0.25%,72
54m,0.49%,49,155m,0.00%,72
59m,2.46%,52,155m,0.25%,72
65m,3.21%,52,155m,0.00%,72
39m,3.47%,52,156m,0.25%,72
46m,3.21%,50,156m,0.00%,72
50m,2.22%,52,156m,0.00%,72
56m,3.21%,51,156m,0.25%,72
63m,5.40%,52,156m,0.00%,72
38m,3.21%,52,156m,0.00%,72
46m,3.95%,52,157m,0.25%,72
49m,1.73%,50,157m,0.00%,72
50m,0.49%,50,157m,0.00%,72
50m,0.48%,50,157m,0.49%,72
50m,0.25%,49,157m,0.00%,72
TIME:42.9424448013,CODE:0
STOP
51m,0.00%,50,158m,14.71%,73
51m,0.24%,50,158m,0.00%,73
51m,0.00%,50,159m,0.24%,73
52m,0.00%,50,159m,0.00%,73
52m,0.00%,50,159m,0.24%,73
52m,0.24%,50,159m,0.00%,73
52m,0.24%,50,159m,0.24%,73
52m,0.24%,50,159m,0.24%,73
54m,0.24%,50,160m,0.00%,73
58m,0.74%,50,160m,0.00%,73
59m,1.23%,52,160m,0.25%,73
60m,0.49%,52,160m,0.00%,73
61m,0.73%,52,160m,0.25%,73
62m,0.99%,52,160m,0.00%,73
63m,0.50%,52,161m,0.25%,73
64m,0.24%,52,161m,0.24%,73
65m,0.49%,52,161m,0.00%,73
66m,0.50%,51,161m,0.00%,73
67m,0.49%,51,161m,0.24%,73
34m,0.48%,51,161m,0.24%,73
34m,0.00%,51,162m,0.48%,73
34m,0.25%,49,162m,0.00%,73
35m,0.25%,49,162m,0.24%,73
35m,0.25%,49,162m,0.00%,73
35m,0.00%,49,162m,0.00%,73
35m,0.00%,49,163m,0.25%,73
35m,0.24%,49,163m,0.24%,73
38m,0.49%,48,163m,0.24%,72
41m,0.50%,48,163m,0.00%,72
44m,1.23%,50,163m,0.00%,72
51m,3.21%,51,164m,0.00%,72
56m,2.96%,51,164m,0.25%,72
62m,3.71%,51,164m,0.00%,72
37m,5.69%,51,164m,0.00%,72
44m,3.46%,51,164m,0.49%,72
51m,4.94%,49,165m,0.00%,72
57m,3.21%,51,165m,0.25%,72
65m,3.46%,49,165m,0.00%,72
41m,3.46%,49,165m,0.00%,72
42m,0.25%,49,165m,0.25%,72
42m,0.48%,49,165m,0.24%,72
42m,0.00%,48,166m,0.00%,72
TIME:42.2634050846,CODE:0
STOP
43m,0.00%,49,166m,11.36%,73
43m,0.00%,49,167m,0.00%,73
43m,0.24%,49,167m,0.24%,73
44m,0.24%,49,167m,0.24%,73
44m,0.00%,49,167m,0.00%,73
44m,0.00%,49,167m,0.00%,73
44m,0.00%,49,167m,0.24%,73
44m,0.24%,49,168m,0.00%,73
47m,0.49%,49,168m,0.24%,73
49m,0.49%,51,168m,0.00%,73
52m,0.49%,49,168m,0.00%,73
52m,0.25%,51,168m,0.25%,73
53m,0.49%,51,168m,0.00%,73
54m,0.74%,51,169m,0.25%,73
56m,0.49%,51,169m,0.00%,73
57m,0.73%,51,169m,0.00%,73
58m,0.50%,51,169m,0.00%,73
59m,0.74%,51,169m,0.25%,73
60m,0.50%,51,169m,0.00%,73
60m,0.24%,51,170m,0.24%,73
61m,0.24%,49,170m,0.00%,73
61m,0.00%,49,170m,0.24%,73
61m,0.00%,49,170m,0.24%,73
61m,0.25%,49,170m,0.00%,73
61m,0.00%,49,171m,0.00%,73
61m,0.25%,49,171m,0.25%,73
62m,0.00%,49,171m,0.00%,73
64m,0.98%,48,172m,0.25%,72
33m,0.74%,48,172m,0.00%,72
35m,0.97%,50,172m,0.48%,72
40m,3.91%,51,172m,0.25%,72
45m,2.72%,49,172m,0.25%,72
51m,3.71%,51,173m,0.00%,72
58m,3.21%,51,173m,0.00%,72
35m,3.43%,51,173m,0.00%,72
41m,3.21%,49,173m,0.25%,72
49m,5.19%,49,173m,0.25%,72
56m,3.46%,49,174m,0.00%,72
62m,3.21%,49,174m,0.49%,72
65m,1.97%,49,174m,0.00%,72
65m,0.25%,49,174m,0.24%,72
TIME:42.3797838688,CODE:0
STOP
66m,2.99%,49,175m,10.00%,73
66m,0.00%,49,175m,0.70%,73
66m,0.00%,49,175m,2.81%,73
67m,0.24%,49,175m,0.00%,73
67m,1.72%,49,176m,0.24%,73
34m,0.00%,49,176m,0.00%,73
35m,0.00%,49,176m,0.25%,73
35m,0.24%,49,176m,0.00%,73
36m,0.25%,49,176m,0.00%,73
39m,0.74%,49,176m,0.25%,73
42m,0.49%,49,177m,0.00%,73
43m,0.49%,50,177m,0.00%,73
44m,0.49%,51,177m,0.24%,73
44m,0.25%,51,177m,0.00%,73
45m,0.49%,51,177m,0.00%,73
46m,0.49%,51,177m,0.25%,73
48m,0.49%,51,178m,0.49%,73
49m,1.23%,51,178m,0.25%,73
50m,0.49%,53,178m,0.00%,73
50m,0.25%,51,178m,0.00%,73
50m,0.00%,51,178m,0.24%,73
51m,0.24%,51,179m,0.24%,73
51m,0.25%,49,179m,0.00%,73
51m,0.00%,49,179m,0.24%,73
52m,0.71%,49,179m,0.49%,73
52m,0.49%,49,179m,0.49%,73
52m,0.25%,49,179m,0.00%,73
52m,0.24%,49,180m,0.24%,73
53m,0.00%,48,180m,0.00%,72
55m,0.49%,48,180m,0.25%,72
59m,0.74%,48,180m,0.00%,72
61m,0.50%,50,181m,0.25%,72
33m,3.21%,51,181m,0.00%,72
42m,3.46%,51,181m,0.00%,72
49m,3.20%,51,181m,0.00%,72
56m,3.21%,51,181m,0.25%,72
62m,4.95%,51,182m,0.00%,72
36m,2.97%,49,182m,0.00%,72
42m,3.21%,51,182m,0.25%,72
48m,3.46%,51,182m,0.00%,72
56m,3.43%,51,182m,0.00%,72
57m,0.49%,49,182m,0.25%,72
58m,0.24%,49,12m,0.25%,72
TIME:44.3738489151,CODE:0
STOP
58m,0.66%,49,13m,0.00%,73
59m,0.00%,49,13m,0.00%,73
59m,0.24%,49,13m,0.24%,73
59m,0.24%,49,14m,0.24%,73
59m,0.00%,49,14m,0.00%,73
59m,0.00%,49,14m,0.00%,73
60m,0.00%,49,14m,0.24%,73
60m,0.00%,49,14m,0.00%,73
63m,0.74%,49,14m,0.49%,73
67m,0.74%,49,15m,0.00%,73
35m,0.25%,50,15m,0.25%,73
36m,0.49%,51,15m,0.00%,73
37m,0.74%,51,15m,0.00%,73
38m,0.74%,51,16m,0.25%,73
39m,0.25%,51,16m,0.00%,73
40m,0.74%,51,16m,0.25%,73
41m,0.50%,51,16m,0.00%,73
42m,0.74%,53,16m,0.00%,73
43m,0.24%,50,16m,0.24%,73
43m,0.72%,50,16m,0.24%,73
44m,0.00%,49,17m,0.00%,73
44m,0.24%,49,17m,0.00%,73
44m,0.24%,49,17m,0.24%,73
44m,0.00%,49,17m,0.24%,73
44m,0.24%,49,17m,0.00%,73
44m,0.00%,49,17m,0.00%,73
45m,0.25%,48,18m,0.25%,72
49m,0.74%,48,18m,0.00%,72
51m,0.50%,48,18m,0.25%,72
56m,2.47%,51,18m,0.00%,72
61m,3.22%,49,19m,0.00%,72
34m,3.46%,49,19m,0.00%,72
44m,5.19%,49,19m,0.25%,72
49m,3.46%,49,19m,0.00%,72
55m,3.46%,51,19m,0.25%,72
62m,3.45%,51,19m,0.00%,72
38m,3.97%,51,19m,0.00%,72
45m,3.21%,51,20m,0.00%,72
49m,2.22%,49,20m,0.00%,72
50m,0.25%,49,20m,0.25%,72
50m,0.24%,48,20m,0.24%,72
TIME:41.7473130226,CODE:0
STOP
51m,0.00%,49,21m,0.00%,73
51m,0.00%,49,21m,0.24%,73
51m,0.00%,49,21m,0.00%,73
51m,0.24%,49,22m,0.00%,73
52m,0.00%,49,22m,0.24%,73
52m,0.00%,49,22m,0.25%,73
52m,0.24%,49,22m,0.00%,73
52m,0.00%,49,22m,0.00%,73
55m,0.49%,51,22m,0.25%,73
58m,0.74%,49,22m,0.00%,73
60m,0.49%,50,23m,0.25%,73
60m,0.00%,50,23m,0.00%,73
61m,0.49%,51,23m,0.00%,73
62m,0.74%,51,23m,0.00%,73
63m,0.49%,51,24m,0.25%,73
65m,0.49%,51,24m,0.00%,73
66m,0.74%,51,24m,0.25%,73
67m,0.49%,51,24m,0.00%,73
67m,3.19%,51,24m,0.00%,73
34m,0.24%,51,24m,0.24%,73
34m,0.24%,49,24m,0.24%,73
34m,4.41%,49,25m,0.00%,73
34m,0.25%,49,25m,0.00%,73
35m,0.00%,49,25m,0.24%,73
35m,0.00%,49,26m,0.25%,73
35m,0.24%,49,26m,0.00%,73
36m,0.25%,48,26m,0.25%,72
40m,0.74%,48,26m,0.00%,72
42m,0.74%,51,26m,0.00%,72
48m,2.96%,49,26m,0.25%,72
56m,3.47%,51,26m,0.00%,72
64m,3.71%,51,27m,0.00%,72
40m,3.96%,51,27m,0.00%,72
46m,3.21%,51,27m,0.25%,72
51m,2.94%,51,27m,0.00%,72
59m,3.21%,51,27m,0.25%,72
66m,4.94%,51,27m,0.00%,72
42m,3.71%,49,27m,0.25%,72
48m,1.98%,49,28m,0.00%,72
48m,0.24%,49,28m,0.24%,72
48m,0.00%,49,28m,0.49%,72
48m,0.24%,48,29m,0.24%,72
TIME:42.4026241302,CODE:0
STOP
49m,1.53%,49,29m,0.00%,73
49m,0.00%,49,29m,0.24%,73
49m,0.00%,49,29m,0.00%,73
50m,0.24%,49,30m,0.24%,73
50m,0.00%,49,30m,0.00%,73
50m,0.24%,49,30m,0.24%,73
50m,0.00%,49,30m,0.00%,73
50m,0.24%,50,30m,0.24%,73
54m,0.73%,49,30m,0.00%,73
58m,0.74%,49,30m,0.00%,73
59m,0.25%,51,31m,0.25%,73
59m,0.25%,51,31m,0.00%,73
60m,0.74%,51,31m,0.25%,73
61m,0.49%,51,31m,0.00%,73
62m,0.24%,51,32m,0.00%,73
63m,0.49%,51,32m,0.25%,73
64m,0.25%,51,32m,0.00%,73
65m,0.49%,51,32m,0.25%,73
66m,0.24%,50,32m,0.00%,73
66m,0.24%,50,32m,0.24%,73
66m,0.00%,49,33m,0.00%,73
66m,0.24%,49,33m,0.24%,73
67m,0.24%,49,33m,0.24%,73
67m,0.00%,49,33m,0.00%,73
33m,0.00%,49,34m,0.24%,73
34m,0.25%,49,34m,0.00%,73
35m,0.25%,50,34m,0.00%,73
36m,0.25%,49,34m,0.25%,73
39m,0.74%,48,34m,0.00%,72
41m,0.24%,48,34m,0.24%,72
46m,3.21%,51,34m,0.00%,72
53m,3.22%,51,35m,0.00%,72
60m,3.46%,51,35m,0.00%,72
34m,3.96%,51,35m,0.00%,72
43m,5.17%,51,36m,0.25%,72
52m,3.46%,49,36m,0.00%,72
57m,3.71%,49,36m,0.25%,72
63m,3.21%,51,36m,0.00%,72
36m,3.47%,51,36m,0.00%,72
38m,1.23%,49,36m,0.00%,72
38m,0.49%,49,36m,0.24%,72
38m,0.00%,48,37m,0.00%,72
TIME:42.5016579628,CODE:0
STOP
39m,0.00%,49,37m,0.00%,73
39m,0.00%,49,37m,0.23%,73
39m,0.23%,49,37m,1.19%,73
40m,0.24%,49,38m,0.00%,73
40m,0.24%,49,38m,0.24%,73
40m,1.45%,49,38m,0.00%,73
40m,0.00%,49,38m,0.24%,73
40m,0.24%,49,39m,0.00%,73
42m,0.25%,51,39m,0.00%,73
46m,0.74%,49,39m,0.25%,73
48m,0.49%,50,39m,0.00%,73
48m,0.00%,50,39m,0.24%,73
49m,0.49%,50,39m,0.25%,73
51m,0.49%,51,40m,0.00%,73
52m,0.25%,51,40m,0.00%,73
52m,0.49%,51,40m,0.25%,73
53m,0.25%,51,40m,0.00%,73
54m,0.98%,53,40m,0.24%,73
55m,0.49%,50,40m,0.25%,73
55m,0.25%,50,40m,0.97%,73
56m,0.00%,49,41m,0.00%,73
56m,0.48%,49,41m,0.24%,73
56m,0.49%,49,41m,0.48%,73
56m,0.00%,49,41m,0.24%,73
56m,0.96%,49,42m,0.00%,73
57m,0.00%,49,42m,0.24%,73
58m,0.49%,49,42m,0.00%,73
62m,0.50%,49,42m,0.00%,73
64m,0.74%,51,43m,0.24%,72
38m,4.41%,51,43m,0.00%,72
46m,2.98%,51,43m,0.00%,72
52m,3.21%,49,43m,0.49%,72
60m,3.21%,49,43m,0.00%,72
35m,4.39%,51,43m,1.22%,72
44m,5.44%,51,44m,0.00%,72
50m,3.45%,51,44m,0.25%,72
57m,3.21%,51,44m,0.00%,72
63m,3.47%,51,44m,0.00%,72
64m,0.74%,49,44m,0.24%,72
65m,0.48%,49,44m,0.00%,72
65m,0.24%,48,44m,0.24%,72
TIME:41.4667880535,CODE:0
STOP
66m,0.00%,49,46m,0.83%,73
66m,0.00%,49,46m,0.00%,73
66m,0.00%,49,46m,0.24%,73
66m,0.00%,49,46m,0.00%,73
66m,0.24%,49,46m,0.00%,73
67m,0.00%,49,46m,0.24%,73
67m,0.24%,49,46m,0.24%,73
67m,0.24%,49,47m,0.00%,73
36m,0.74%,49,47m,0.24%,73
40m,0.74%,49,47m,0.00%,73
42m,0.49%,50,47m,0.00%,73
43m,0.25%,51,47m,0.25%,73
45m,0.49%,51,47m,0.00%,73
45m,0.49%,51,47m,0.00%,73
46m,0.48%,51,48m,0.24%,73
47m,0.24%,51,48m,0.00%,73
48m,0.49%,51,48m,0.25%,73
49m,0.24%,51,48m,0.00%,73
49m,0.73%,51,49m,0.00%,73
50m,0.00%,51,49m,0.25%,73
50m,0.00%,49,49m,0.00%,73
50m,0.00%,49,49m,0.24%,73
50m,0.00%,49,49m,0.00%,73
51m,0.24%,49,49m,0.24%,73
51m,0.00%,49,49m,0.25%,73
51m,0.00%,49,50m,0.00%,73
52m,0.49%,49,50m,0.00%,73
55m,0.50%,49,50m,0.00%,73
58m,0.74%,49,50m,0.25%,73
63m,2.70%,52,50m,0.00%,73
36m,3.22%,51,51m,0.25%,72
44m,3.21%,51,51m,0.00%,72
48m,1.97%,50,51m,0.00%,72
54m,3.20%,51,51m,0.00%,72
62m,3.95%,51,51m,0.25%,72
36m,3.20%,51,52m,0.00%,72
46m,5.19%,51,52m,0.00%,72
52m,3.47%,51,52m,0.25%,72
58m,2.72%,49,52m,0.00%,72
59m,0.00%,49,52m,0.00%,72
59m,0.00%,48,52m,0.25%,72
TIME:41.6563410759,CODE:0
STOP
60m,0.00%,49,53m,0.00%,73
60m,0.00%,49,54m,0.24%,73
60m,0.24%,49,54m,0.24%,73
60m,0.00%,49,54m,0.00%,73
61m,0.24%,49,54m,0.00%,73
61m,0.00%,49,54m,0.24%,73
61m,0.00%,49,54m,0.25%,73
61m,0.24%,49,54m,0.00%,73
64m,0.74%,49,55m,0.00%,73
34m,0.74%,51,55m,0.25%,73
35m,0.25%,50,55m,0.00%,73
36m,0.49%,51,55m,0.00%,73
38m,0.74%,51,55m,0.25%,73
39m,0.74%,51,55m,0.00%,73
40m,0.25%,51,55m,0.00%,73
40m,0.00%,51,56m,0.24%,73
41m,0.24%,51,56m,0.00%,73
42m,0.99%,51,56m,0.25%,73
42m,0.00%,51,56m,0.00%,73
43m,0.24%,51,57m,0.24%,73
43m,0.00%,49,57m,0.24%,73
43m,0.24%,49,57m,0.00%,73
43m,0.24%,49,57m,0.24%,73
43m,0.00%,49,57m,0.00%,73
44m,0.24%,49,57m,0.24%,73
44m,0.00%,49,57m,0.00%,73
45m,0.25%,49,58m,0.00%,73
50m,0.98%,49,58m,0.24%,73
52m,0.49%,51,58m,0.00%,73
58m,3.21%,51,59m,0.25%,72
65m,3.72%,51,59m,0.00%,72
39m,3.46%,51,59m,0.00%,72
44m,2.97%,49,59m,0.25%,72
55m,5.68%,51,60m,0.00%,72
62m,3.71%,51,60m,0.00%,72
36m,3.21%,49,60m,0.25%,72
42m,3.46%,49,60m,0.00%,72
48m,3.21%,49,60m,0.25%,72
51m,1.72%,49,60m,0.74%,72
52m,0.25%,49,60m,0.00%,72
TIME:41.4717459679,CODE:0
STOP
53m,0.69%,49,62m,0.73%,73
53m,0.00%,49,62m,0.00%,73
53m,0.24%,49,62m,0.97%,73
53m,0.96%,49,62m,0.00%,73
53m,0.24%,49,62m,0.24%,73
54m,0.24%,49,62m,0.24%,73
54m,1.20%,49,62m,0.00%,73
54m,0.00%,49,63m,0.25%,73
55m,0.24%,49,63m,0.00%,73
59m,0.74%,49,63m,0.98%,73
61m,0.49%,49,63m,0.25%,73
63m,0.25%,51,63m,0.00%,73
64m,0.49%,51,63m,0.00%,73
65m,0.25%,51,63m,0.49%,73
65m,0.24%,51,64m,0.25%,73
66m,0.48%,51,64m,0.24%,73
67m,0.25%,51,64m,0.00%,73
34m,0.49%,51,65m,0.74%,73
35m,0.49%,51,65m,0.00%,73
35m,0.24%,51,65m,0.24%,73
