46m,0.00%,40,13m,0.00%,201
47m,1.26%,40,14m,1.18%,201
47m,0.95%,40,14m,0.46%,201
48m,0.69%,40,14m,1.35%,201
48m,0.90%,40,15m,0.46%,201
48m,0.73%,40,15m,0.71%,201
49m,3.54%,40,15m,1.01%,201
49m,0.77%,40,16m,1.56%,201
50m,2.10%,40,16m,0.71%,201
50m,0.51%,40,16m,1.01%,201
50m,0.74%,40,17m,0.00%,201
51m,0.81%,40,17m,1.51%,201
51m,1.55%,40,17m,0.79%,201
52m,2.53%,40,18m,0.82%,201
TIME:29.786755085,CODE:1
STOP
53m,2.64%,41,19m,0.00%,202
53m,0.38%,41,19m,0.37%,202
53m,1.19%,41,19m,0.59%,202
54m,0.00%,41,19m,0.44%,202
54m,1.33%,41,20m,1.36%,202
54m,0.48%,41,20m,0.48%,202
54m,0.00%,41,20m,0.79%,202
55m,2.45%,41,20m,0.00%,202
55m,0.87%,41,20m,0.84%,202
55m,1.68%,41,20m,1.69%,202
TIME:23.5620889664,CODE:2
STOP
TIME:0.575751066208,CODE:3
STOP
TIME:0.664582967758,CODE:4
STOP
56m,0.00%,42,22m,1.17%,203
56m,0.42%,42,22m,0.41%,203
40m,1.67%,42,22m,0.00%,203
41m,0.47%,42,22m,0.93%,203
41m,0.69%,42,23m,0.71%,203
41m,0.44%,42,23m,0.45%,203
41m,0.00%,42,23m,0.84%,203
41m,0.85%,42,23m,0.00%,203
42m,0.90%,42,23m,1.73%,203
42m,0.84%,42,24m,0.86%,203
TIME:22.7440760136,CODE:5
STOP
43m,3.64%,42,8m,0.00%,203
43m,0.37%,42,9m,0.71%,203
44m,0.77%,42,9m,0.81%,203
44m,0.85%,42,9m,0.42%,203
44m,0.72%,42,9m,0.70%,203
44m,1.66%,42,9m,0.83%,203
45m,0.00%,42,10m,0.47%,203
45m,0.80%,42,10m,0.82%,203
45m,0.88%,42,10m,0.87%,203
45m,1.73%,42,10m,1.67%,203
46m,1.67%,42,10m,0.85%,203
TIME:25.002779007,CODE:6
STOP
47m,1.26%,43,11m,1.19%,204
47m,0.41%,43,11m,0.40%,204
47m,0.77%,43,12m,0.74%,204
