8m,1.38%,38,9m,1.17%,62
8m,1.33%,38,9m,0.62%,62
8m,0.00%,38,10m,0.00%,62
9m,0.44%,38,10m,0.89%,62
9m,0.00%,38,10m,0.87%,62
9m,0.50%,38,10m,0.00%,62
9m,0.00%,38,10m,0.72%,62
9m,0.87%,38,11m,0.90%,62
10m,0.45%,38,11m,0.00%,62
10m,1.51%,38,11m,0.74%,62
10m,0.47%,38,11m,0.47%,62
11m,0.00%,38,11m,0.81%,62
11m,0.86%,38,11m,0.85%,62
11m,0.00%,38,12m,0.00%,62
11m,0.90%,38,12m,0.91%,62
TIME:25.7785429955,CODE:1
STOP
12m,4.61%,39,13m,0.00%,63
12m,0.00%,39,13m,1.45%,63
12m,0.45%,39,13m,0.00%,63
12m,0.00%,39,13m,0.79%,63
13m,0.45%,39,13m,0.45%,63
13m,0.00%,39,14m,0.46%,63
13m,0.74%,40,14m,0.00%,63
13m,0.81%,40,14m,0.79%,63
14m,0.93%,40,14m,0.93%,63
14m,0.76%,40,14m,0.00%,63
14m,0.49%,40,15m,0.49%,63
14m,0.00%,40,15m,0.00%,63
15m,0.88%,40,15m,0.87%,63
15m,0.00%,40,15m,0.83%,63
15m,1.79%,40,15m,0.00%,63
TIME:26.0940508842,CODE:2
STOP
TIME:0.969984054565,CODE:3
STOP
TIME:0.626384019852,CODE:4
STOP
16m,0.00%,41,16m,0.00%,64
16m,1.50%,41,16m,0.75%,64
16m,0.00%,41,17m,0.43%,64
16m,0.43%,41,17m,0.44%,64
17m,0.00%,41,17m,0.00%,64
17m,0.49%,41,17m,0.49%,64
17m,0.74%,41,17m,0.72%,64
17m,0.00%,41,17m,0.45%,64
17m,0.75%,41,18m,0.77%,64
17m,0.00%,41,18m,0.48%,64
18m,0.83%,41,18m,0.83%,64
18m,0.00%,41,18m,0.00%,64
18m,1.81%,41,18m,0.90%,64
18m,0.00%,41,19m,0.00%,64
18m,0.95%,41,19m,0.95%,64
TIME:25.2188680172,CODE:5
STOP
19m,0.00%,42,19m,0.56%,65
19m,0.43%,42,20m,0.41%,65
19m,0.00%,42,20m,0.00%,65
19m,0.50%,42,20m,0.50%,65
19m,0.00%,42,20m,0.81%,65
20m,0.49%,42,20m,0.50%,65
20m,0.00%,42,21m,0.75%,65
20m,1.27%,42,21m,0.42%,65
20m,0.00%,42,21m,0.00%,65
21m,0.85%,42,21m,0.84%,65
21m,0.94%,42,21m,0.00%,65
21m,0.00%,42,22m,0.80%,65
21m,0.88%,43,22m,0.90%,65
22m,0.92%,43,22m,0.92%,65
22m,0.00%,42,22m,0.93%,65
TIME:25.3299291134,CODE:6
STOP
23m,0.00%,43,7m,0.53%,66
23m,0.44%,43,7m,0.85%,66
23m,0.00%,43,7m,0.00%,66
23m,0.98%,43,7m,0.49%,66
23m,0.00%,43,7m,0.81%,66
24m,0.49%,43,7m,0.00%,66
24m,0.00%,43,8m,0.71%,66
24m,0.49%,43,8m,0.50%,66
24m,0.00%,43,8m,0.76%,66
24m,0.50%,43,8m,0.50%,66
24m,0.00%,43,8m,0.80%,66
8m,0.92%,43,9m,0.00%,66
TIME:21.7383019924,CODE:7
STOP
9m,5.88%,43,9m,3.94%,66
TIME:8.20927596092,CODE:8
STOP
10m,0.00%,44,10m,3.95%,67
10m,0.81%,44,10m,0.00%,67
10m,0.00%,44,11m,0.60%,67
TIME:6.34679603577,CODE:9
STOP
11m,0.00%,45,11m,0.71%,68
11m,0.92%,45,12m,0.44%,68
11m,0.00%,45,12m,0.00%,68
11m,0.49%,45,12m,0.49%,68
11m,0.00%,45,12m,0.00%,68
12m,0.47%,44,13m,0.47%,67
12m,0.00%,44,13m,1.46%,67
12m,1.74%,44,13m,0.00%,67
12m,0.00%,44,13m,0.44%,67
12m,1.43%,45,13m,0.73%,67
13m,0.50%,44,14m,0.49%,67
13m,0.82%,44,14m,0.00%,67
13m,0.00%,44,14m,0.85%,67
14m,0.86%,44,14m,0.00%,67
14m,0.88%,44,14m,1.71%,67
14m,0.00%,44,15m,0.92%,67
TIME:26.429710865,CODE:1
STOP
15m,4.37%,44,15m,0.00%,68
15m,0.00%,44,15m,0.39%,68
15m,0.79%,44,16m,1.67%,68
15m,0.00%,44,16m,0.45%,68
15m,0.80%,44,16m,0.00%,68
15m,0.42%,45,16m,0.42%,68
16m,0.00%,45,16m,0.00%,68
16m,2.65%,45,17m,0.87%,68
16m,0.00%,45,17m,0.42%,68
17m,1.13%,44,17m,0.59%,67
17m,0.96%,44,17m,0.93%,67
17m,0.00%,44,17m,0.76%,67
17m,0.87%,44,17m,0.00%,67
17m,0.91%,44,18m,0.89%,67
18m,0.00%,44,18m,0.00%,67
TIME:26.9383430481,CODE:2
STOP
TIME:0.547381162643,CODE:3
STOP
TIME:0.649978160858,CODE:4
STOP
18m,0.00%,45,19m,0.00%,68
18m,0.74%,45,19m,0.68%,68
19m,0.00%,45,19m,0.84%,68
19m,0.40%,44,19m,0.41%,67
19m,0.82%,44,19m,0.82%,67
19m,0.00%,44,20m,0.00%,67
19m,0.74%,44,20m,0.74%,67
19m,0.00%,44,20m,0.50%,67
20m,0.74%,44,20m,0.00%,67
20m,0.90%,44,20m,1.72%,67
20m,0.47%,44,21m,0.00%,67
20m,0.00%,44,21m,0.76%,67
20m,0.87%,44,21m,0.88%,67
20m,0.00%,44,21m,0.87%,67
21m,0.89%,44,21m,0.00%,67
TIME:26.0359251499,CODE:5
STOP
21m,0.00%,45,22m,0.74%,68
21m,0.45%,44,22m,0.43%,67
22m,0.84%,44,6m,0.00%,67
22m,0.48%,44,6m,0.48%,67
22m,0.00%,44,7m,0.75%,67
22m,0.81%,43,7m,0.00%,66
22m,0.00%,43,7m,0.88%,66
23m,0.78%,45,7m,0.79%,66
23m,0.48%,43,7m,0.00%,66
23m,1.54%,43,7m,0.73%,66
23m,0.51%,43,8m,0.51%,66
24m,0.77%,42,8m,0.00%,66
24m,0.00%,42,8m,0.86%,65
24m,0.75%,43,8m,0.78%,65
24m,0.88%,43,8m,0.00%,65
24m,0.00%,43,9m,1.72%,65
25m,0.91%,42,9m,0.94%,65
TIME:27.6269710064,CODE:6
STOP
9m,4.63%,43,9m,0.00%,66
9m,0.00%,43,10m,0.74%,66
9m,0.42%,43,10m,0.86%,66
10m,0.44%,43,10m,0.44%,66
10m,0.00%,43,10m,0.00%,66
10m,0.43%,43,10m,0.43%,66
10m,0.00%,43,11m,0.71%,66
10m,0.49%,43,11m,0.00%,66
10m,0.76%,43,11m,0.74%,66
11m,0.50%,43,11m,0.98%,66
11m,0.00%,42,11m,0.00%,65
11m,0.91%,42,12m,0.91%,65
TIME:22.4188859463,CODE:7
STOP
12m,4.95%,43,12m,3.92%,66
12m,0.44%,44,12m,0.84%,66
TIME:8.78281784058,CODE:8
STOP
TIME:5.91778707504,CODE:9
STOP
13m,0.00%,45,14m,0.00%,68
13m,0.44%,46,14m,0.42%,68
13m,0.82%,46,14m,0.80%,68
13m,0.98%,45,15m,0.49%,67
13m,0.00%,45,15m,0.80%,67
13m,0.45%,45,15m,0.46%,67
14m,0.00%,45,15m,0.73%,67
14m,0.87%,45,15m,0.00%,67
14m,0.45%,45,16m,0.44%,67
15m,1.42%,45,16m,0.70%,67
15m,0.47%,45,16m,0.00%,67
15m,0.77%,45,16m,0.76%,67
15m,0.00%,45,16m,1.58%,67
15m,0.88%,44,16m,0.00%,67
16m,0.00%,44,17m,0.90%,67
TIME:26.100012064,CODE:1
STOP
16m,1.41%,45,17m,0.00%,68
17m,0.00%,45,18m,0.71%,68
17m,0.45%,45,18m,0.93%,68
17m,0.74%,46,18m,0.00%,68
17m,0.00%,46,18m,0.45%,68
17m,0.42%,46,18m,0.43%,68
17m,0.71%,46,19m,0.00%,68
18m,1.49%,46,19m,0.73%,68
18m,0.00%,45,19m,0.46%,67
18m,1.47%,45,19m,0.76%,67
19m,0.00%,45,19m,0.48%,67
19m,0.79%,45,19m,0.81%,67
19m,0.00%,44,20m,0.00%,67
19m,1.80%,44,20m,0.90%,67
19m,0.94%,44,20m,0.91%,67
TIME:25.7767338753,CODE:2
STOP
TIME:0.657370090485,CODE:3
STOP
TIME:0.645597934723,CODE:4
STOP
20m,0.00%,44,21m,0.59%,68
21m,0.42%,44,21m,0.42%,68
21m,0.00%,44,21m,0.79%,68
21m,0.48%,44,22m,0.47%,68
21m,0.00%,43,22m,0.00%,67
21m,0.46%,43,22m,0.47%,67
21m,0.00%,43,22m,0.73%,67
22m,0.48%,43,22m,0.00%,67
22m,0.77%,43,22m,0.76%,67
22m,0.00%,43,6m,0.98%,67
22m,1.61%,43,6m,0.00%,67
22m,0.00%,43,6m,0.83%,67
22m,0.88%,43,7m,0.00%,67
23m,0.00%,43,7m,0.88%,67
23m,0.93%,43,7m,0.00%,67
TIME:25.4613630772,CODE:5
STOP
23m,0.79%,44,8m,1.50%,68
24m,0.42%,44,8m,0.42%,68
24m,0.00%,43,8m,0.00%,67
24m,0.95%,43,8m,0.47%,67
24m,0.00%,43,9m,0.76%,67
24m,0.82%,43,9m,0.00%,67
24m,0.00%,43,9m,0.47%,67
25m,0.75%,43,9m,0.77%,66
8m,1.00%,42,9m,0.50%,66
8m,0.00%,42,9m,0.75%,66
9m,1.73%,42,10m,0.89%,66
9m,0.47%,42,10m,0.00%,65
9m,0.00%,42,10m,0.80%,65
10m,1.59%,43,10m,0.00%,65
10m,0.93%,43,10m,0.91%,65
TIME:26.3566410542,CODE:6
STOP
11m,0.00%,43,11m,0.00%,66
11m,0.42%,43,11m,0.39%,66
11m,0.81%,43,12m,0.78%,66
11m,0.00%,43,12m,0.00%,66
11m,0.81%,43,12m,0.81%,66
12m,0.86%,43,12m,0.86%,66
12m,0.46%,43,12m,0.47%,66
12m,0.00%,43,12m,0.79%,66
12m,0.90%,43,13m,0.45%,66
12m,0.42%,43,13m,0.41%,66
12m,0.00%,43,13m,0.00%,66
13m,0.91%,43,13m,0.90%,66
TIME:22.2504749298,CODE:7
STOP
13m,0.00%,43,14m,0.00%,66
14m,0.40%,43,14m,0.40%,66
14m,0.00%,43,14m,0.00%,66
14m,0.46%,43,15m,0.45%,66
TIME:9.31045198441,CODE:8
STOP
15m,1.30%,44,15m,1.14%,67
TIME:6.18004393578,CODE:9
STOP
15m,0.00%,45,16m,3.07%,68
15m,0.44%,45,16m,0.00%,68
16m,0.00%,45,17m,1.57%,68
16m,0.44%,45,17m,0.46%,68
16m,0.81%,44,17m,0.00%,67
16m,0.49%,44,17m,0.48%,67
16m,0.72%,44,17m,0.00%,67
17m,0.86%,44,18m,0.86%,67
17m,0.00%,44,18m,0.46%,67
17m,1.87%,44,18m,0.00%,67
17m,0.00%,44,18m,0.89%,67
18m,0.76%,44,18m,0.78%,67
18m,0.00%,44,18m,0.00%,67
18m,0.85%,44,19m,0.85%,67
18m,0.90%,44,19m,0.89%,67
TIME:26.2302570343,CODE:1
STOP
19m,3.85%,45,20m,1.04%,68
19m,0.45%,45,20m,0.00%,68
19m,0.00%,45,20m,0.79%,68
20m,0.45%,45,20m,0.46%,68
20m,0.00%,45,20m,0.00%,68
20m,0.48%,45,21m,0.48%,68
20m,0.00%,45,21m,0.00%,68
20m,1.55%,45,21m,0.76%,68
21m,0.00%,45,21m,0.89%,68
21m,1.39%,46,21m,0.00%,67
21m,1.01%,44,22m,0.49%,67
21m,0.00%,44,22m,0.81%,67
21m,0.00%,44,22m,0.00%,67
22m,0.85%,44,22m,0.85%,67
22m,0.91%,44,22m,0.00%,67
TIME:26.5271608829,CODE:2
STOP
