60m,0.00%,50,32m,0.00%,67
60m,0.47%,50,32m,0.00%,67
61m,0.44%,50,33m,0.44%,67
62m,0.00%,50,33m,0.46%,67
62m,0.46%,50,34m,0.46%,67
63m,0.00%,50,35m,0.46%,67
63m,0.48%,50,35m,0.48%,67
40m,0.00%,50,36m,0.00%,67
43m,1.94%,50,36m,0.48%,67
47m,1.46%,50,37m,0.00%,67
48m,1.48%,52,37m,0.49%,67
50m,1.46%,52,38m,0.00%,67
51m,1.46%,52,38m,0.00%,67
52m,2.45%,52,39m,0.49%,67
54m,0.98%,52,39m,0.49%,67
55m,0.49%,52,40m,0.49%,67
56m,1.46%,52,40m,0.00%,67
58m,1.96%,53,41m,0.48%,67
59m,0.98%,53,41m,0.49%,67
60m,0.48%,53,42m,0.00%,67
60m,0.49%,51,42m,0.97%,67
61m,0.48%,51,43m,0.48%,67
61m,0.00%,51,43m,0.00%,67
62m,0.94%,51,44m,0.47%,67
41m,0.48%,51,44m,0.48%,67
41m,0.00%,51,10m,0.47%,67
43m,0.97%,51,11m,0.00%,67
47m,1.48%,51,12m,0.00%,67
49m,0.98%,51,12m,0.49%,67
55m,6.75%,54,13m,0.98%,67
61m,6.44%,54,13m,0.00%,67
47m,8.30%,52,13m,0.00%,67
48m,0.98%,52,14m,0.49%,67
49m,1.92%,54,15m,0.48%,67
57m,5.85%,54,15m,0.00%,67
63m,10.33%,52,16m,0.00%,67
49m,7.39%,52,16m,0.00%,67
53m,7.31%,52,17m,0.49%,67
60m,6.88%,52,17m,0.00%,67
45m,7.39%,54,18m,0.49%,67
50m,5.41%,52,18m,0.00%,67
51m,0.49%,52,19m,0.00%,67
52m,0.49%,52,19m,0.49%,67
60m,0.48%,50,32m,0.00%,67
61m,0.00%,50,33m,0.48%,67
61m,0.49%,50,33m,0.00%,67
62m,0.00%,50,33m,0.49%,67
62m,0.48%,50,34m,0.49%,67
63m,0.00%,50,34m,0.49%,67
63m,0.47%,50,35m,0.00%,67
64m,0.00%,50,35m,0.48%,67
43m,1.95%,50,36m,0.49%,67
46m,0.99%,50,37m,0.00%,67
48m,1.96%,52,37m,0.49%,67
50m,1.47%,52,37m,0.00%,67
51m,1.46%,52,38m,0.00%,67
52m,1.94%,52,39m,0.49%,67
54m,1.48%,52,39m,0.49%,67
55m,0.49%,52,40m,0.49%,67
56m,1.46%,52,40m,0.00%,67
58m,1.97%,53,41m,0.00%,67
59m,0.97%,53,41m,0.48%,67
60m,0.47%,53,42m,0.48%,67
60m,0.48%,51,42m,0.48%,67
61m,0.00%,51,42m,0.48%,67
61m,0.46%,51,43m,0.46%,67
62m,0.48%,51,44m,0.47%,67
41m,0.96%,51,44m,0.48%,67
41m,0.00%,51,10m,0.48%,67
43m,0.97%,51,11m,0.00%,67
47m,1.48%,53,11m,0.00%,67
49m,0.49%,51,12m,0.48%,67
55m,7.23%,54,12m,0.49%,67
61m,5.95%,54,13m,0.49%,67
47m,8.33%,54,13m,0.00%,67
48m,1.47%,52,14m,0.49%,67
49m,1.44%,54,14m,0.00%,67
56m,6.24%,54,15m,0.49%,67
63m,10.32%,54,15m,0.00%,67
48m,7.40%,54,16m,0.00%,67
53m,6.90%,52,16m,0.00%,67
59m,7.26%,54,17m,0.49%,67
44m,6.90%,54,18m,0.00%,67
50m,5.92%,52,18m,0.49%,67
51m,0.49%,52,18m,0.00%,67
52m,0.49%,52,19m,0.49%,67
60m,0.48%,50,32m,0.48%,67
61m,0.00%,50,32m,0.00%,67
61m,0.48%,50,33m,0.48%,67
61m,0.00%,50,33m,0.00%,67
62m,0.48%,50,34m,0.48%,67
63m,0.00%,50,34m,0.48%,67
63m,0.48%,50,35m,0.48%,67
64m,0.00%,50,35m,0.48%,67
43m,1.47%,50,36m,0.00%,67
46m,1.49%,50,36m,0.49%,67
48m,1.97%,52,37m,0.00%,67
49m,0.97%,52,37m,0.47%,67
51m,1.42%,52,38m,0.00%,67
52m,2.40%,52,38m,0.48%,67
53m,1.48%,52,39m,0.00%,67
54m,0.49%,52,40m,0.99%,67
56m,1.44%,52,40m,0.00%,67
58m,1.97%,53,40m,0.00%,67
59m,0.48%,53,41m,0.48%,67
60m,0.94%,53,42m,0.48%,67
60m,0.00%,51,42m,0.48%,67
61m,0.94%,51,43m,0.48%,67
61m,0.00%,51,43m,0.47%,67
62m,0.48%,51,44m,0.00%,67
62m,0.48%,51,44m,0.47%,67
41m,0.47%,51,10m,0.96%,67
43m,0.98%,51,11m,0.00%,67
46m,1.48%,51,11m,0.00%,67
49m,0.49%,51,12m,0.48%,67
55m,6.78%,54,12m,0.49%,67
61m,6.45%,54,13m,0.49%,67
46m,8.37%,54,13m,0.00%,67
48m,1.47%,52,14m,0.49%,67
48m,0.49%,52,14m,0.00%,67
55m,7.04%,54,15m,0.49%,67
62m,10.42%,54,15m,0.00%,67
48m,6.91%,54,16m,0.00%,67
52m,6.90%,54,16m,0.00%,67
59m,7.34%,54,17m,0.49%,67
44m,6.91%,54,17m,0.00%,67
50m,6.40%,52,18m,0.49%,67
51m,0.49%,52,18m,0.00%,67
51m,0.48%,52,19m,0.49%,67
52m,0.48%,51,19m,0.00%,67
TIME:45.0686540604,CODE:0
STOP
53m,0.00%,52,20m,0.00%,68
53m,0.00%,52,20m,0.46%,68
53m,0.45%,52,21m,0.00%,68
53m,0.00%,52,21m,0.46%,68
53m,0.00%,52,21m,0.00%,68
54m,0.48%,52,21m,0.00%,68
54m,0.48%,52,22m,0.47%,68
55m,0.48%,54,22m,0.00%,68
59m,1.95%,52,22m,0.00%,68
60m,0.49%,52,22m,0.48%,68
61m,0.97%,54,22m,0.49%,68
61m,0.00%,54,22m,0.00%,68
64m,2.41%,54,23m,0.00%,68
42m,0.98%,54,23m,0.00%,68
43m,0.99%,54,23m,0.00%,68
44m,1.48%,54,23m,0.00%,68
45m,0.98%,54,23m,0.49%,68
46m,0.48%,54,24m,0.00%,68
47m,1.94%,53,24m,0.49%,68
47m,0.49%,53,24m,0.00%,68
47m,0.48%,52,24m,0.48%,68
48m,0.48%,52,24m,0.00%,68
48m,0.00%,52,24m,0.00%,68
48m,0.00%,51,25m,0.47%,68
48m,0.47%,51,25m,0.00%,68
48m,0.00%,51,25m,0.48%,68
50m,0.97%,51,25m,0.00%,68
53m,1.48%,51,25m,0.00%,68
55m,1.49%,52,25m,0.00%,68
61m,8.83%,54,26m,0.00%,68
47m,11.39%,52,26m,0.49%,68
51m,5.94%,54,26m,0.00%,68
56m,6.42%,54,26m,0.00%,68
43m,6.44%,54,26m,0.00%,68
47m,6.44%,52,27m,0.00%,68
53m,6.37%,52,27m,0.00%,68
59m,6.44%,54,27m,0.49%,68
43m,5.92%,54,27m,0.00%,68
49m,5.88%,52,28m,0.48%,68
49m,0.48%,52,28m,0.00%,68
50m,0.00%,52,28m,0.00%,68
TIME:42.9135141373,CODE:0
STOP
50m,0.00%,52,29m,0.00%,69
51m,0.00%,52,29m,0.46%,69
51m,0.45%,52,29m,0.00%,69
51m,0.00%,52,29m,0.00%,69
51m,0.47%,52,29m,0.47%,69
51m,0.00%,52,29m,0.48%,69
52m,0.00%,51,30m,0.00%,67
52m,0.00%,51,30m,0.48%,67
52m,0.48%,51,30m,0.00%,67
52m,0.00%,51,30m,0.00%,67
53m,0.48%,51,30m,0.49%,67
54m,0.96%,51,30m,0.00%,67
54m,0.49%,51,31m,0.00%,67
55m,0.97%,51,31m,0.00%,67
