137m,0.44%,39,123m,1.04%,196
138m,0.32%,39,123m,0.50%,197
138m,0.33%,39,124m,0.98%,197
138m,0.17%,39,124m,0.34%,197
138m,3.30%,39,124m,3.12%,197
139m,1.19%,39,124m,0.47%,197
144m,10.38%,39,124m,0.72%,197
145m,8.45%,39,125m,0.72%,197
149m,1.45%,39,125m,0.24%,197
151m,2.56%,39,125m,0.46%,197
155m,1.68%,39,125m,0.00%,197
29m,0.97%,39,125m,0.24%,197
32m,4.58%,39,125m,0.24%,197
34m,0.97%,39,126m,0.24%,197
39m,1.45%,39,126m,0.24%,197
41m,0.24%,39,126m,0.24%,197
45m,0.96%,39,126m,0.24%,197
47m,0.73%,39,126m,0.24%,197
51m,1.46%,39,127m,0.49%,197
52m,0.24%,39,127m,0.00%,197
55m,1.94%,39,127m,0.48%,197
58m,6.50%,39,127m,0.24%,197
63m,1.45%,39,127m,0.00%,197
64m,0.73%,39,128m,0.49%,197
69m,1.46%,39,128m,0.00%,197
74m,4.61%,39,129m,0.24%,197
75m,0.49%,39,129m,0.48%,197
79m,1.21%,39,129m,0.24%,197
82m,0.97%,39,129m,0.24%,197
87m,1.68%,39,129m,0.24%,197
93m,1.22%,39,129m,0.24%,197
98m,1.46%,39,130m,0.24%,197
99m,0.24%,39,130m,0.24%,197
104m,2.17%,39,130m,0.00%,197
105m,0.25%,39,130m,0.48%,197
105m,0.72%,39,130m,0.00%,197
112m,4.18%,39,131m,0.24%,197
TIME:41.6659550667,CODE:0
STOP
114m,0.63%,40,132m,0.70%,198
114m,0.17%,40,132m,0.34%,198
114m,0.00%,40,132m,0.17%,198
114m,2.57%,40,132m,2.55%,198
120m,0.52%,40,132m,0.08%,198
125m,0.92%,40,132m,0.18%,198
127m,0.48%,40,133m,0.24%,198
131m,1.46%,40,133m,0.24%,198
133m,0.73%,40,133m,0.24%,198
137m,0.48%,40,133m,0.48%,198
139m,2.66%,40,133m,0.00%,198
143m,4.87%,40,133m,0.24%,198
145m,0.73%,40,134m,0.00%,198
149m,0.72%,40,134m,0.24%,198
150m,0.73%,40,134m,0.00%,198
31m,0.73%,40,134m,0.24%,198
32m,0.49%,40,134m,0.00%,198
35m,0.73%,40,135m,0.49%,198
38m,0.73%,40,135m,0.00%,198
44m,2.70%,40,135m,0.24%,198
50m,2.21%,40,135m,0.00%,198
55m,1.23%,40,135m,0.00%,198
60m,0.97%,40,135m,0.24%,198
65m,1.22%,40,136m,0.25%,198
66m,0.00%,40,136m,0.25%,198
71m,1.70%,40,136m,0.24%,198
72m,0.48%,40,136m,0.24%,198
78m,1.20%,40,136m,0.24%,198
82m,2.42%,40,137m,0.00%,198
83m,0.49%,40,137m,1.71%,198
85m,1.21%,40,137m,0.25%,198
90m,0.93%,40,137m,0.00%,198
TIME:41.2022080421,CODE:0
STOP
91m,0.00%,41,138m,0.00%,199
92m,0.00%,41,139m,0.16%,199
92m,0.16%,41,139m,0.33%,199
92m,0.35%,41,139m,0.17%,198
92m,0.18%,41,139m,0.17%,198
93m,0.18%,41,140m,0.18%,198
94m,0.24%,41,140m,0.00%,198
98m,2.68%,41,140m,0.49%,198
99m,0.49%,41,140m,0.00%,198
103m,0.97%,41,140m,0.24%,198
105m,0.24%,41,140m,0.72%,198
110m,1.18%,41,141m,0.24%,198
112m,9.38%,41,141m,0.94%,198
116m,4.38%,41,141m,0.25%,198
117m,1.43%,41,141m,0.00%,198
122m,1.94%,41,141m,0.24%,198
123m,1.45%,41,142m,0.24%,198
128m,0.73%,41,142m,0.00%,198
129m,0.48%,41,142m,0.24%,198
135m,1.22%,41,142m,0.24%,198
140m,1.70%,41,142m,1.95%,198
145m,0.98%,41,142m,0.00%,198
28m,0.49%,41,143m,0.00%,198
32m,1.21%,41,143m,0.24%,198
38m,0.98%,41,143m,0.25%,198
38m,0.00%,41,143m,0.24%,198
41m,1.20%,41,143m,1.46%,198
45m,1.48%,41,145m,0.00%,198
50m,1.22%,41,145m,0.24%,198
55m,4.82%,41,145m,0.24%,198
56m,0.25%,41,145m,0.25%,198
60m,1.23%,41,146m,0.00%,198
62m,0.25%,41,146m,0.24%,198
67m,0.97%,41,146m,0.49%,198
67m,0.49%,41,146m,0.00%,198
69m,0.49%,41,146m,0.24%,198
73m,0.98%,41,146m,0.00%,198
74m,0.49%,41,147m,0.24%,198
TIME:41.4803071022,CODE:0
STOP
75m,0.51%,42,147m,2.48%,199
76m,0.00%,42,148m,0.00%,199
76m,0.17%,42,148m,0.34%,199
77m,0.00%,42,148m,0.00%,199
77m,0.17%,42,148m,0.17%,199
77m,0.18%,42,148m,0.00%,199
78m,0.24%,42,148m,0.24%,199
81m,1.70%,42,149m,0.00%,199
83m,0.24%,42,149m,0.48%,199
88m,1.19%,42,149m,0.00%,199
89m,0.24%,42,149m,0.48%,199
93m,1.18%,42,149m,0.24%,199
95m,3.78%,42,150m,0.23%,199
98m,0.74%,42,151m,5.39%,199
100m,0.97%,42,151m,0.24%,199
105m,0.95%,42,152m,0.47%,199
106m,0.73%,42,152m,0.00%,199
111m,1.68%,42,152m,0.71%,199
113m,1.20%,42,153m,0.96%,199
118m,0.96%,42,55m,0.49%,199
119m,0.24%,42,55m,0.24%,199
124m,1.21%,42,56m,0.00%,199
125m,0.25%,42,56m,0.00%,199
130m,3.41%,42,57m,0.49%,199
131m,0.00%,42,57m,0.00%,199
135m,1.22%,42,57m,0.25%,199
136m,0.24%,42,57m,0.24%,199
26m,1.46%,41,58m,0.24%,198
29m,0.49%,41,58m,0.49%,198
34m,1.47%,41,58m,0.99%,198
40m,0.98%,41,58m,0.25%,198
45m,0.74%,41,60m,0.25%,198
46m,0.24%,41,60m,0.00%,198
51m,1.47%,41,60m,0.00%,198
51m,0.24%,41,60m,0.24%,198
56m,0.97%,41,60m,0.25%,198
58m,0.73%,41,61m,0.00%,198
60m,0.24%,41,61m,0.00%,198
62m,0.49%,41,61m,0.25%,198
66m,2.69%,41,61m,0.00%,198
TIME:43.7906861305,CODE:0
STOP
67m,0.00%,42,62m,0.64%,199
67m,0.00%,42,62m,0.00%,199
67m,0.17%,42,62m,0.00%,199
