65m,0.64%,41,109m,16.30%,67
65m,0.92%,41,109m,1.21%,67
65m,0.71%,41,109m,0.47%,67
65m,0.96%,41,109m,0.69%,67
65m,3.73%,41,110m,4.71%,67
66m,0.47%,41,110m,0.73%,67
66m,0.47%,41,110m,0.47%,67
67m,1.46%,41,110m,1.42%,67
70m,1.93%,41,111m,0.48%,67
71m,0.48%,42,111m,0.48%,67
73m,1.67%,42,111m,0.24%,67
75m,3.19%,44,111m,0.48%,67
77m,1.94%,42,111m,0.48%,67
78m,0.48%,42,111m,0.48%,67
81m,2.13%,42,112m,0.49%,68
82m,0.49%,42,112m,0.24%,68
84m,2.40%,42,112m,0.24%,68
85m,0.97%,42,112m,0.73%,68
88m,0.96%,42,112m,0.48%,68
89m,0.73%,42,113m,0.24%,68
92m,1.21%,42,113m,0.24%,68
93m,0.49%,42,113m,0.24%,68
96m,2.87%,42,114m,0.71%,68
14m,1.21%,42,114m,0.24%,68
16m,1.92%,42,114m,0.48%,68
17m,0.24%,42,114m,0.48%,68
20m,1.67%,42,114m,0.98%,68
22m,1.46%,42,114m,0.48%,68
24m,1.21%,42,114m,0.24%,68
26m,2.19%,42,115m,0.49%,68
27m,0.98%,42,115m,0.49%,68
30m,1.70%,42,115m,0.24%,68
33m,1.46%,42,115m,0.49%,68
36m,1.46%,42,116m,1.21%,68
37m,0.48%,42,116m,0.24%,68
40m,1.94%,42,116m,0.73%,68
40m,0.49%,42,116m,0.24%,68
41m,0.49%,42,116m,0.24%,68
43m,1.21%,42,116m,0.73%,68
TIME:41.6659550667,CODE:0
STOP
45m,0.56%,42,117m,15.63%,69
45m,0.23%,42,118m,0.71%,69
45m,0.95%,42,118m,0.47%,69
45m,4.26%,42,118m,0.47%,69
46m,0.24%,42,118m,5.87%,69
46m,0.00%,42,118m,0.24%,69
46m,0.24%,42,119m,0.24%,69
47m,0.97%,42,119m,0.24%,69
49m,0.97%,43,119m,0.48%,69
50m,0.48%,43,119m,0.48%,69
52m,2.17%,43,119m,0.00%,69
53m,0.24%,43,119m,0.24%,69
54m,0.73%,43,120m,0.24%,69
56m,0.73%,43,120m,0.24%,69
59m,1.45%,43,120m,0.48%,69
59m,0.24%,43,120m,0.00%,69
61m,0.48%,43,120m,0.24%,69
63m,5.34%,43,121m,0.24%,69
65m,0.97%,43,121m,0.00%,69
66m,0.24%,43,121m,0.00%,69
68m,1.21%,43,121m,0.24%,69
69m,0.73%,43,121m,0.24%,69
70m,0.72%,43,122m,0.49%,69
72m,0.73%,43,122m,0.73%,69
75m,1.70%,43,122m,0.97%,69
79m,1.22%,43,122m,0.24%,69
81m,1.45%,43,122m,2.42%,69
84m,1.45%,43,122m,0.24%,69
87m,3.18%,43,122m,0.24%,69
89m,0.73%,43,123m,0.24%,69
90m,0.49%,43,123m,0.00%,69
92m,1.95%,43,123m,0.24%,69
94m,2.21%,43,123m,0.00%,69
15m,1.71%,43,123m,0.24%,69
17m,3.64%,43,124m,0.24%,69
17m,0.24%,43,124m,0.97%,69
19m,0.96%,43,124m,0.25%,69
20m,0.74%,42,125m,0.48%,69
TIME:41.2022080421,CODE:0
STOP
22m,0.00%,43,126m,1.48%,70
22m,0.00%,43,126m,0.48%,70
22m,0.94%,43,126m,0.24%,70
22m,0.96%,43,126m,2.08%,70
23m,0.47%,43,126m,0.48%,70
23m,0.00%,43,127m,0.24%,70
23m,0.48%,43,127m,0.24%,70
23m,0.00%,43,127m,0.24%,70
25m,2.41%,44,127m,0.00%,70
26m,0.74%,44,127m,0.24%,70
28m,0.48%,44,127m,0.24%,70
29m,2.91%,44,127m,0.24%,70
31m,1.22%,44,128m,0.00%,70
32m,0.72%,44,128m,0.00%,70
33m,3.18%,45,128m,1.21%,70
36m,0.71%,44,128m,1.92%,70
36m,0.24%,44,129m,0.49%,70
38m,3.13%,44,129m,0.24%,70
40m,0.74%,44,129m,5.28%,70
41m,0.72%,44,129m,0.25%,70
