32m,0.00%,46,13m,0.00%,63
32m,0.00%,46,13m,0.45%,63
33m,0.95%,50,14m,0.00%,63
33m,0.47%,50,14m,0.00%,63
33m,8.05%,50,14m,0.00%,63
34m,0.00%,50,14m,0.46%,63
34m,0.46%,50,14m,0.00%,63
34m,0.48%,50,15m,0.00%,63
34m,0.00%,50,15m,0.48%,63
35m,0.47%,50,15m,0.00%,63
35m,1.46%,51,15m,0.47%,63
36m,2.39%,51,15m,0.00%,63
37m,0.49%,51,15m,0.49%,63
37m,0.48%,50,16m,0.00%,63
37m,0.48%,50,16m,0.48%,63
37m,0.48%,50,16m,0.00%,63
38m,0.47%,50,16m,0.00%,63
38m,0.00%,50,16m,0.48%,63
38m,0.48%,50,17m,0.00%,63
38m,0.48%,50,17m,0.48%,63
39m,0.48%,50,17m,0.00%,63
39m,0.00%,50,17m,0.00%,63
39m,0.00%,50,17m,0.49%,63
39m,0.48%,50,17m,0.49%,63
40m,0.48%,50,18m,0.00%,63
40m,0.49%,50,18m,0.00%,63
40m,0.48%,50,18m,0.48%,63
40m,0.48%,50,18m,0.48%,63
41m,0.98%,51,18m,0.00%,63
42m,1.47%,51,19m,0.00%,63
43m,0.49%,51,19m,0.00%,63
43m,0.49%,51,19m,0.00%,63
43m,0.48%,51,19m,0.97%,63
43m,0.48%,51,19m,0.00%,63
43m,0.49%,50,20m,0.00%,63
44m,0.00%,50,20m,0.48%,63
44m,0.48%,50,20m,0.00%,63
44m,0.49%,50,20m,0.48%,63
44m,0.00%,50,20m,0.49%,63
45m,0.48%,50,20m,0.00%,63
45m,0.48%,50,21m,0.00%,63
45m,0.48%,50,21m,0.00%,63
45m,0.00%,50,21m,0.48%,63
46m,0.48%,50,21m,0.00%,63
46m,0.49%,50,21m,0.48%,63
46m,0.49%,50,22m,0.49%,63
46m,0.49%,50,22m,0.00%,63
53m,5.39%,52,22m,0.00%,63
35m,10.88%,52,22m,0.00%,63
47m,10.42%,52,22m,0.50%,63
51m,8.42%,52,22m,0.00%,63
26m,8.90%,52,23m,0.49%,63
28m,3.94%,52,23m,0.00%,63
32m,8.40%,52,23m,0.00%,63
44m,10.37%,52,23m,0.49%,63
27m,10.89%,52,23m,0.00%,63
40m,10.37%,52,24m,0.00%,63
40m,0.00%,50,24m,0.00%,63
41m,0.48%,46,24m,0.00%,63
41m,0.00%,46,24m,0.00%,63
41m,0.49%,46,24m,0.49%,63
41m,0.49%,46,24m,0.49%,63
42m,0.48%,46,25m,0.00%,63
42m,0.49%,45,25m,0.48%,63
42m,0.49%,45,25m,0.00%,63
42m,0.00%,45,25m,0.48%,63
43m,0.48%,45,25m,0.00%,63
43m,0.49%,45,26m,0.48%,63
TIME:69.2172911167,CODE:0
STOP
44m,0.00%,46,26m,1.34%,64
44m,0.00%,46,26m,0.00%,64
44m,0.97%,48,27m,0.48%,64
45m,1.95%,49,27m,0.00%,64
46m,6.21%,50,27m,0.00%,64
47m,0.97%,50,27m,0.49%,64
47m,0.48%,50,27m,0.00%,64
47m,0.97%,50,28m,0.00%,64
48m,0.98%,50,28m,0.00%,64
49m,0.98%,50,28m,0.00%,64
49m,0.48%,50,28m,0.48%,64
50m,0.00%,50,28m,0.00%,64
50m,0.96%,50,28m,0.00%,64
51m,1.47%,50,29m,0.00%,64
51m,0.48%,50,29m,0.48%,64
52m,0.95%,50,29m,0.00%,64
52m,0.48%,50,29m,0.48%,64
52m,0.00%,50,29m,0.48%,64
53m,0.48%,49,30m,0.00%,64
53m,0.48%,49,30m,0.48%,64
53m,0.48%,49,30m,0.48%,64
53m,0.00%,49,30m,0.00%,64
54m,0.48%,49,30m,0.00%,64
54m,0.48%,49,31m,0.48%,64
54m,0.48%,49,31m,0.49%,64
54m,0.48%,49,31m,0.00%,64
55m,0.99%,50,31m,0.00%,64
25m,0.97%,50,31m,0.00%,64
26m,0.48%,50,31m,0.00%,64
26m,0.00%,50,32m,0.48%,64
27m,0.48%,50,32m,0.49%,64
27m,1.97%,50,32m,0.00%,64
28m,1.48%,50,32m,0.00%,64
29m,0.96%,49,32m,0.00%,64
29m,0.48%,49,33m,0.48%,64
30m,1.96%,50,33m,0.49%,64
30m,0.48%,50,33m,0.00%,64
30m,0.48%,50,33m,0.00%,64
31m,0.48%,50,33m,0.48%,64
31m,0.48%,49,33m,0.00%,64
31m,0.49%,49,34m,0.00%,64
31m,0.00%,49,34m,0.49%,64
32m,0.48%,49,34m,0.00%,64
32m,0.49%,49,34m,0.48%,64
34m,2.91%,51,34m,0.00%,64
47m,9.92%,49,35m,0.50%,64
51m,7.92%,51,35m,0.00%,64
26m,8.85%,51,35m,0.49%,64
28m,2.94%,49,35m,0.00%,64
29m,4.89%,51,35m,0.00%,64
35m,8.88%,51,35m,0.00%,64
48m,10.40%,51,36m,0.00%,64
32m,10.38%,51,36m,0.49%,64
45m,10.39%,51,36m,0.00%,64
27m,9.38%,49,36m,0.00%,64
27m,0.00%,49,36m,0.49%,64
TIME:58.2031481266,CODE:0
STOP
28m,0.00%,48,37m,0.00%,65
28m,0.46%,48,37m,0.45%,65
29m,0.48%,50,37m,0.00%,65
29m,0.47%,50,38m,0.00%,65
29m,7.54%,50,38m,0.00%,65
30m,0.00%,50,38m,0.47%,65
30m,0.46%,50,38m,0.47%,65
30m,0.47%,50,38m,0.00%,65
30m,0.48%,50,39m,0.00%,65
31m,0.00%,50,39m,0.48%,65
31m,0.48%,50,39m,0.49%,65
31m,0.48%,50,39m,0.00%,65
31m,0.00%,50,39m,0.00%,65
32m,0.48%,50,39m,0.48%,65
32m,0.48%,50,40m,0.00%,65
32m,0.00%,50,40m,0.00%,65
32m,0.48%,50,40m,0.95%,65
33m,0.47%,50,40m,0.00%,65
33m,0.49%,50,40m,0.00%,65
33m,0.48%,50,41m,0.48%,65
33m,0.48%,50,41m,0.48%,65
34m,0.96%,51,41m,0.00%,65
35m,1.93%,51,41m,0.00%,65
35m,1.46%,51,41m,0.00%,65
36m,0.49%,51,41m,0.49%,65
36m,0.98%,51,42m,0.00%,65
37m,0.98%,51,42m,0.49%,65
38m,1.96%,50,42m,0.00%,65
38m,0.49%,50,42m,0.00%,65
38m,0.00%,50,42m,0.48%,65
39m,3.43%,51,43m,0.00%,65
40m,0.00%,51,43m,0.00%,65
40m,0.96%,51,43m,0.48%,65
41m,0.48%,51,43m,0.00%,65
41m,0.48%,51,43m,0.48%,65
41m,0.48%,50,44m,0.00%,65
41m,0.48%,50,44m,0.48%,65
42m,0.00%,50,44m,0.00%,65
42m,0.48%,50,44m,0.48%,65
42m,0.49%,50,10m,0.00%,65
42m,0.48%,50,10m,0.97%,65
43m,0.48%,50,10m,0.00%,65
43m,0.00%,50,10m,0.00%,65
43m,1.96%,52,10m,0.49%,65
47m,9.85%,52,10m,0.00%,65
52m,8.38%,52,11m,0.00%,65
32m,9.41%,52,11m,0.00%,65
36m,3.44%,52,11m,0.49%,65
39m,4.87%,50,11m,0.00%,65
44m,7.35%,52,11m,0.49%,65
28m,10.39%,52,12m,0.00%,65
41m,10.89%,52,12m,0.00%,65
54m,10.38%,52,12m,0.00%,65
37m,10.39%,52,12m,0.00%,65
48m,8.83%,50,12m,0.00%,65
48m,0.00%,49,13m,0.49%,64
TIME:57.9190099239,CODE:0
STOP
49m,1.40%,48,14m,0.00%,65
50m,0.00%,48,14m,0.00%,65
50m,0.48%,51,14m,0.00%,65
51m,1.46%,52,14m,0.00%,65
52m,0.48%,51,14m,0.00%,65
52m,0.96%,50,15m,0.00%,65
53m,0.00%,50,15m,0.47%,65
53m,11.61%,52,15m,0.00%,65
54m,1.47%,52,15m,0.00%,65
55m,1.42%,52,15m,0.48%,65
26m,0.48%,52,16m,0.00%,65
26m,0.48%,52,16m,0.48%,65
27m,1.46%,52,16m,0.00%,65
27m,1.45%,52,16m,0.00%,65
28m,0.95%,51,16m,0.47%,65
28m,0.48%,51,16m,0.48%,65
29m,1.94%,52,17m,0.00%,65
30m,0.48%,52,17m,0.00%,65
30m,0.96%,51,17m,0.48%,65
31m,0.97%,51,17m,0.00%,65
31m,0.00%,51,17m,0.00%,65
32m,1.96%,52,18m,0.49%,65
32m,0.98%,52,18m,0.00%,65
33m,1.41%,51,18m,0.47%,65
33m,0.00%,51,18m,0.00%,65
34m,0.48%,51,18m,0.00%,65
34m,0.48%,51,18m,0.00%,65
34m,0.48%,51,18m,0.48%,65
34m,0.48%,51,19m,0.48%,65
35m,0.00%,51,19m,0.00%,65
35m,0.48%,51,19m,0.48%,65
35m,0.48%,51,19m,0.48%,65
35m,0.48%,51,19m,0.00%,65
35m,0.48%,51,20m,0.48%,65
36m,0.00%,51,20m,0.00%,65
36m,0.48%,51,20m,0.48%,65
36m,0.48%,51,20m,0.00%,65
36m,0.48%,51,20m,0.00%,65
37m,0.48%,51,20m,0.48%,65
37m,0.00%,51,21m,0.49%,65
37m,0.48%,51,21m,0.00%,65
37m,0.49%,51,21m,0.00%,65
38m,0.00%,51,21m,0.00%,65
38m,0.49%,51,21m,0.48%,65
40m,4.91%,53,22m,0.49%,65
46m,8.41%,53,22m,0.00%,65
29m,10.40%,53,22m,0.00%,65
33m,9.40%,53,22m,0.00%,65
34m,0.99%,51,22m,0.49%,65
34m,0.49%,51,23m,0.00%,65
37m,6.90%,53,23m,0.49%,65
41m,9.43%,53,23m,0.00%,65
47m,8.40%,53,23m,0.00%,65
30m,9.40%,53,23m,0.00%,65
35m,9.34%,53,24m,0.00%,65
43m,6.42%,50,25m,0.49%,64
44m,0.49%,50,25m,0.00%,64
TIME:58.9263470173,CODE:0
STOP
44m,0.00%,48,26m,0.00%,65
45m,0.00%,48,26m,0.00%,65
45m,0.97%,53,26m,0.49%,65
46m,1.45%,54,26m,0.00%,65
47m,0.48%,54,26m,0.00%,65
