36m,13.53%,39,19m,7.50%,200
36m,2.29%,39,19m,0.73%,200
36m,0.44%,39,20m,1.32%,200
36m,1.49%,39,20m,0.78%,200
36m,0.46%,39,20m,0.87%,200
37m,0.68%,39,20m,1.46%,200
37m,0.89%,39,21m,1.35%,200
37m,3.58%,39,21m,1.78%,200
37m,0.88%,39,21m,0.43%,200
38m,0.76%,39,21m,3.69%,200
38m,1.49%,38,22m,2.44%,199
38m,2.65%,38,22m,0.86%,199
23m,2.28%,38,22m,0.74%,199
23m,4.24%,38,22m,1.60%,199
24m,2.47%,38,22m,2.63%,199
25m,4.91%,38,22m,0.84%,199
25m,5.39%,38,23m,1.69%,199
26m,4.32%,38,23m,0.89%,199
27m,5.20%,38,23m,1.72%,199
27m,4.52%,38,23m,1.82%,199
28m,2.45%,38,23m,1.61%,199
29m,7.83%,38,24m,3.52%,199
29m,8.01%,38,24m,0.89%,199
TIME:35.8767371178,CODE:0
STOP
30m,0.00%,39,10m,4.05%,200
30m,1.22%,39,10m,1.29%,200
31m,1.44%,39,11m,1.75%,200
31m,2.81%,39,11m,1.74%,200
31m,0.43%,39,11m,0.40%,200
31m,1.32%,39,11m,1.29%,200
31m,1.18%,39,11m,1.96%,200
32m,2.91%,39,12m,1.87%,200
32m,0.43%,39,12m,0.83%,200
32m,1.41%,39,12m,1.46%,200
32m,1.62%,39,12m,0.80%,200
33m,3.42%,39,12m,1.65%,200
33m,2.59%,39,12m,1.72%,200
34m,3.42%,39,13m,0.85%,200
34m,3.38%,39,13m,2.51%,200
35m,8.56%,39,13m,0.87%,200
36m,5.46%,39,13m,0.90%,200
37m,4.19%,39,13m,2.54%,200
37m,5.74%,39,14m,1.63%,200
38m,1.14%,39,14m,0.38%,200
38m,2.64%,39,14m,0.90%,200
22m,5.41%,39,14m,2.71%,200
23m,5.45%,39,14m,0.90%,200
24m,4.48%,39,14m,0.90%,200
TIME:40.4977750778,CODE:0
STOP
25m,0.00%,40,15m,0.00%,201
25m,1.45%,40,15m,2.22%,201
25m,0.45%,40,16m,0.88%,201
25m,0.86%,40,16m,0.43%,201
26m,0.81%,40,16m,0.79%,201
26m,0.42%,40,16m,0.43%,201
26m,0.78%,40,17m,0.81%,201
27m,1.52%,40,17m,0.80%,201
27m,0.45%,40,17m,0.86%,201
27m,0.00%,40,17m,0.78%,201
27m,1.74%,40,17m,0.87%,201
28m,3.25%,40,17m,0.78%,201
28m,2.61%,40,18m,1.77%,201
29m,5.96%,40,18m,1.65%,201
30m,5.04%,40,18m,0.87%,201
30m,4.42%,40,18m,0.86%,201
