12m,0.00%,39,10m,0.00%,62
12m,0.71%,39,10m,1.45%,62
12m,0.00%,39,10m,0.00%,62
12m,0.70%,39,10m,0.70%,62
13m,0.00%,39,10m,0.00%,62
13m,0.41%,39,11m,0.41%,62
13m,0.68%,39,11m,0.00%,62
13m,0.89%,39,11m,0.87%,62
13m,0.79%,41,11m,0.78%,62
14m,0.47%,39,11m,0.47%,62
14m,0.00%,39,11m,0.00%,62
14m,0.00%,39,12m,0.87%,62
14m,0.78%,39,12m,0.00%,62
TIME:25.5199949741,CODE:1
STOP
15m,0.00%,40,13m,0.54%,63
15m,0.43%,40,13m,0.00%,63
15m,0.00%,40,13m,0.78%,63
15m,0.39%,41,13m,0.00%,63
16m,0.00%,41,13m,0.00%,63
16m,0.00%,41,13m,0.45%,63
16m,0.72%,41,14m,0.00%,63
16m,0.86%,41,14m,1.67%,63
16m,0.43%,41,14m,0.00%,63
17m,0.75%,41,14m,0.73%,63
17m,0.90%,41,14m,0.00%,63
17m,0.00%,41,14m,0.87%,63
TIME:22.570456028,CODE:2
STOP
TIME:1.40532207489,CODE:3
STOP
TIME:2.05110216141,CODE:4
STOP
19m,0.50%,43,16m,0.48%,66
19m,0.38%,43,16m,0.37%,66
19m,0.00%,43,17m,0.80%,66
19m,1.59%,44,17m,0.00%,66
19m,0.45%,44,17m,0.43%,66
20m,0.00%,44,17m,0.00%,66
20m,0.43%,44,17m,0.43%,66
20m,0.00%,44,17m,0.00%,66
20m,0.45%,44,18m,0.45%,66
20m,0.00%,44,18m,0.00%,66
TIME:20.2369298935,CODE:5
STOP
21m,1.02%,45,19m,0.00%,67
21m,0.41%,45,19m,0.39%,67
21m,0.00%,45,19m,0.00%,67
21m,0.45%,45,19m,0.45%,67
22m,0.00%,45,19m,0.00%,67
22m,0.00%,45,19m,0.89%,67
22m,0.74%,45,20m,0.00%,67
22m,0.69%,45,20m,0.67%,67
22m,0.87%,45,20m,0.00%,67
23m,0.00%,45,20m,0.74%,67
23m,0.73%,45,20m,0.00%,67
TIME:22.0879759789,CODE:6
STOP
24m,1.39%,46,21m,0.53%,68
24m,0.00%,46,21m,0.39%,68
24m,0.77%,46,21m,0.00%,68
24m,1.72%,46,22m,0.84%,68
8m,0.00%,46,22m,0.00%,68
8m,0.78%,46,22m,0.78%,68
8m,0.00%,46,22m,0.46%,68
9m,0.81%,45,22m,0.81%,67
9m,0.00%,45,22m,0.88%,67
9m,0.45%,45,6m,0.00%,67
9m,0.00%,45,6m,0.70%,67
TIME:20.7939310074,CODE:7
STOP
TIME:6.36025595665,CODE:8
STOP
10m,0.00%,46,8m,1.16%,69
TIME:6.03899717331,CODE:9
STOP
11m,0.00%,46,8m,0.00%,69
11m,0.40%,46,9m,0.39%,69
11m,0.00%,46,9m,0.00%,69
11m,0.85%,46,9m,0.85%,69
12m,0.43%,46,9m,0.00%,69
12m,0.69%,46,9m,0.67%,69
12m,0.00%,46,9m,0.83%,68
12m,0.76%,47,10m,0.00%,68
12m,0.50%,46,10m,0.49%,68
13m,0.00%,46,10m,0.00%,68
13m,0.84%,46,10m,0.86%,68
13m,0.87%,46,10m,0.00%,68
TIME:22.7096328735,CODE:1
STOP
14m,0.72%,46,11m,0.00%,68
14m,0.00%,46,11m,0.40%,68
14m,0.78%,46,11m,0.00%,68
14m,0.00%,45,12m,0.44%,68
14m,0.76%,45,12m,0.79%,68
15m,0.00%,46,12m,0.00%,68
15m,0.42%,46,12m,0.84%,68
15m,1.53%,47,12m,0.00%,68
15m,0.46%,46,12m,0.44%,68
16m,0.00%,46,12m,0.00%,68
16m,0.85%,46,13m,0.86%,68
16m,0.00%,46,13m,0.00%,68
16m,0.92%,46,13m,0.92%,68
TIME:23.1427989006,CODE:2
STOP
17m,1.97%,46,14m,0.00%,68
17m,0.00%,46,14m,0.81%,68
TIME:0.647907018661,CODE:3
STOP
TIME:2.15735387802,CODE:4
STOP
18m,0.59%,46,15m,0.56%,69
19m,0.00%,46,15m,0.00%,69
19m,0.80%,46,15m,0.80%,69
19m,0.00%,46,16m,0.00%,69
19m,0.80%,46,16m,0.80%,69
19m,0.00%,46,16m,0.42%,69
19m,0.68%,46,16m,0.70%,69
19m,0.00%,46,16m,0.74%,69
20m,0.85%,46,16m,0.00%,69
20m,0.00%,46,16m,0.69%,69
TIME:20.6712188721,CODE:5
STOP
20m,0.48%,45,18m,0.45%,68
21m,0.71%,45,18m,0.00%,68
21m,0.00%,45,18m,0.42%,68
21m,0.77%,44,18m,0.00%,67
21m,0.42%,44,19m,0.42%,67
21m,0.68%,44,19m,1.33%,67
22m,0.40%,44,19m,0.00%,67
22m,0.00%,46,19m,0.78%,67
22m,0.43%,44,19m,0.00%,67
22m,0.75%,44,19m,0.73%,67
22m,0.00%,44,19m,0.00%,67
23m,0.21%,45,20m,0.21%,67
23m,1.44%,44,20m,1.44%,67
TIME:28.3516747952,CODE:6
STOP
24m,0.78%,45,21m,0.52%,68
24m,0.00%,44,21m,0.00%,67
24m,0.79%,44,21m,0.80%,67
24m,0.00%,44,21m,0.00%,67
24m,0.77%,44,21m,0.78%,67
8m,0.44%,44,21m,0.43%,67
8m,0.00%,44,21m,0.00%,67
8m,0.88%,44,22m,0.44%,67
9m,0.00%,44,22m,0.00%,67
9m,0.00%,44,22m,0.90%,67
9m,0.93%,44,22m,0.00%,67
9m,0.92%,44,22m,0.90%,67
TIME:19.3230807781,CODE:7
STOP
10m,8.55%,45,7m,1.31%,68
10m,0.41%,45,7m,0.00%,68
TIME:7.78436279297,CODE:8
STOP
11m,0.00%,45,7m,1.34%,68
11m,0.73%,45,8m,0.00%,68
11m,0.38%,45,8m,0.37%,68
TIME:7.29386210442,CODE:9
STOP
12m,0.64%,45,9m,0.00%,68
12m,0.00%,45,9m,0.70%,68
12m,0.41%,45,9m,0.43%,68
12m,0.00%,45,9m,0.00%,68
13m,0.44%,45,10m,0.44%,68
13m,0.00%,45,10m,0.44%,67
13m,0.00%,45,10m,0.74%,67
13m,2.58%,45,10m,0.00%,67
13m,0.00%,45,10m,0.46%,67
14m,0.78%,45,10m,0.00%,67
14m,0.00%,45,11m,0.79%,67
TIME:22.0781159401,CODE:1
STOP
15m,0.58%,44,11m,0.00%,67
15m,0.00%,44,12m,0.36%,67
15m,1.48%,44,12m,0.76%,67
15m,0.86%,45,12m,0.83%,67
16m,0.00%,45,12m,0.43%,67
16m,0.64%,45,12m,0.00%,67
16m,0.00%,45,13m,0.43%,67
16m,0.60%,45,13m,0.00%,67
16m,0.46%,45,13m,0.44%,67
17m,0.69%,45,13m,0.00%,67
17m,0.84%,45,13m,0.83%,67
17m,0.90%,45,13m,0.91%,67
TIME:22.7672948837,CODE:2
STOP
TIME:0.514764070511,CODE:3
STOP
TIME:0.724414825439,CODE:4
STOP
18m,0.00%,45,15m,0.53%,67
18m,0.42%,45,15m,0.41%,67
18m,0.00%,45,15m,0.00%,67
19m,0.45%,45,15m,0.00%,67
19m,0.00%,45,15m,0.74%,67
19m,0.84%,45,15m,0.00%,67
19m,0.00%,45,16m,0.85%,67
19m,0.67%,45,16m,0.68%,67
20m,0.00%,45,16m,0.00%,67
20m,1.61%,44,16m,0.79%,66
TIME:19.9868237972,CODE:5
STOP
20m,0.00%,45,17m,1.06%,67
21m,0.75%,44,17m,0.76%,66
21m,0.39%,44,17m,0.00%,66
21m,0.00%,44,17m,0.76%,66
21m,0.46%,44,18m,0.00%,66
22m,0.74%,44,18m,0.71%,66
22m,0.41%,44,18m,0.00%,66
22m,0.00%,45,18m,0.77%,66
22m,0.45%,43,18m,0.46%,65
22m,0.76%,43,18m,0.75%,65
23m,0.00%,43,19m,0.00%,65
23m,0.86%,44,19m,0.85%,65
TIME:22.937087059,CODE:6
STOP
24m,0.57%,44,19m,0.00%,66
24m,0.00%,44,20m,0.37%,66
24m,0.74%,44,20m,0.00%,66
24m,0.00%,44,20m,0.80%,66
24m,0.42%,44,20m,0.43%,66
8m,0.74%,44,20m,0.76%,66
8m,0.46%,43,20m,0.45%,66
8m,0.85%,43,21m,0.00%,65
9m,0.00%,43,21m,0.45%,65
9m,0.42%,43,21m,0.00%,65
TIME:21.6903779507,CODE:7
STOP
TIME:5.85871315002,CODE:8
STOP
TIME:4.74138402939,CODE:9
STOP
11m,0.65%,46,6m,0.62%,68
11m,0.00%,46,7m,0.00%,68
11m,0.81%,46,7m,0.80%,68
11m,0.00%,46,7m,0.44%,68
11m,1.49%,46,7m,0.77%,68
11m,0.00%,46,7m,0.00%,68
11m,0.46%,45,7m,0.46%,67
12m,0.00%,45,8m,0.84%,67
12m,0.90%,45,8m,0.00%,67
12m,0.00%,45,8m,0.70%,67
12m,0.82%,45,8m,0.00%,67
12m,0.00%,45,8m,1.73%,67
TIME:25.4253809452,CODE:1
STOP
13m,0.00%,45,9m,0.00%,68
13m,0.38%,45,9m,0.36%,68
14m,0.77%,45,9m,0.00%,68
14m,0.00%,46,9m,0.82%,68
14m,0.79%,46,10m,0.00%,68
14m,0.00%,46,10m,0.43%,68
14m,1.45%,46,10m,0.00%,68
15m,0.76%,46,10m,0.74%,68
15m,0.43%,45,10m,0.00%,67
15m,0.00%,45,10m,0.73%,67
15m,0.83%,45,11m,0.00%,67
16m,0.00%,45,11m,1.40%,67
TIME:23.6118748188,CODE:2
STOP
TIME:0.555099964142,CODE:3
STOP
TIME:0.607527017593,CODE:4
STOP
16m,0.55%,46,12m,0.54%,68
17m,0.40%,45,12m,0.00%,67
17m,0.74%,45,12m,0.74%,67
17m,0.84%,45,12m,0.00%,67
17m,0.00%,45,12m,0.85%,67
17m,0.62%,45,12m,0.00%,67
17m,0.00%,45,13m,0.43%,67
17m,0.70%,45,13m,0.72%,67
18m,0.44%,45,13m,0.00%,67
18m,0.00%,45,13m,0.72%,67
TIME:20.7006511688,CODE:5
STOP
18m,0.00%,46,14m,0.00%,68
19m,0.74%,46,14m,0.73%,68
19m,0.00%,46,14m,0.00%,68
19m,0.79%,46,14m,0.78%,68
19m,0.00%,45,15m,0.00%,67
