83m,0.00%,39,168m,0.00%,196
83m,0.00%,39,168m,0.16%,196
83m,0.00%,39,168m,0.00%,196
84m,0.00%,39,169m,0.00%,196
85m,0.17%,39,169m,0.17%,196
85m,0.17%,39,169m,0.00%,196
85m,0.24%,39,169m,0.00%,196
89m,0.97%,39,169m,0.24%,196
91m,0.49%,39,169m,0.00%,196
94m,0.48%,39,170m,0.49%,196
96m,0.72%,39,170m,0.00%,196
101m,0.74%,39,170m,0.00%,196
102m,0.24%,39,170m,0.24%,196
107m,3.65%,39,170m,0.00%,196
108m,0.00%,39,171m,0.24%,196
113m,2.16%,39,171m,0.00%,196
113m,0.00%,39,171m,0.24%,196
118m,0.97%,39,171m,0.00%,196
120m,0.24%,39,171m,0.24%,196
125m,1.22%,39,171m,0.24%,196
125m,0.24%,39,172m,0.00%,196
130m,1.22%,39,172m,0.24%,196
131m,0.49%,39,172m,0.73%,196
135m,0.49%,39,172m,0.00%,196
136m,0.73%,39,173m,0.24%,196
141m,0.98%,39,173m,0.00%,196
147m,2.21%,39,173m,0.00%,196
147m,0.24%,39,17m,0.49%,196
152m,0.98%,39,17m,0.00%,196
154m,0.00%,39,17m,0.24%,196
159m,1.20%,39,17m,0.24%,196
159m,0.00%,39,17m,0.00%,196
164m,1.46%,39,18m,0.00%,196
165m,0.00%,39,18m,0.48%,196
170m,1.93%,39,18m,0.00%,196
170m,0.73%,39,18m,0.24%,196
175m,0.98%,39,18m,0.00%,196
176m,0.24%,39,19m,0.00%,196
179m,0.73%,39,19m,0.24%,196
182m,0.97%,39,19m,0.24%,196
187m,0.96%,39,19m,0.00%,196
188m,0.24%,39,19m,1.21%,196
189m,0.24%,39,19m,1.24%,196
193m,0.74%,39,20m,0.49%,196
194m,0.49%,39,20m,0.00%,196
TIME:49.0804951191,CODE:0
STOP
195m,0.62%,40,21m,0.58%,197
195m,0.47%,40,21m,0.23%,197
195m,0.00%,40,21m,0.00%,197
195m,0.18%,40,21m,0.18%,197
196m,0.18%,40,21m,0.18%,197
196m,0.18%,40,21m,0.00%,197
198m,0.00%,40,22m,0.17%,197
201m,0.69%,40,22m,0.23%,197
203m,0.48%,40,22m,0.00%,197
206m,0.96%,40,22m,0.00%,197
208m,0.48%,40,22m,0.24%,197
214m,0.95%,40,22m,0.24%,197
215m,0.49%,40,23m,0.00%,197
220m,1.70%,40,23m,0.00%,197
221m,0.25%,40,23m,0.24%,197
225m,0.49%,40,23m,0.00%,197
226m,0.48%,40,23m,0.24%,197
231m,0.98%,40,24m,0.25%,197
232m,0.24%,40,24m,0.00%,197
236m,0.73%,40,24m,0.00%,197
238m,0.49%,40,24m,0.24%,197
243m,0.73%,40,24m,0.25%,197
244m,0.49%,40,24m,0.25%,197
248m,1.22%,40,25m,0.49%,197
254m,1.48%,40,25m,0.00%,197
259m,0.98%,40,25m,0.24%,197
261m,0.24%,40,25m,0.00%,197
264m,0.97%,40,25m,0.25%,197
267m,0.24%,40,25m,0.00%,197
271m,0.73%,40,26m,0.25%,197
276m,1.48%,40,26m,0.00%,197
281m,0.98%,40,26m,0.00%,197
283m,0.24%,40,26m,0.00%,197
287m,0.98%,40,26m,0.25%,197
290m,0.24%,40,26m,0.24%,197
292m,0.72%,40,27m,0.48%,197
295m,0.72%,40,27m,0.00%,197
299m,0.74%,40,27m,0.24%,197
301m,0.24%,40,27m,0.00%,197
303m,0.49%,40,27m,0.24%,197
305m,0.24%,40,28m,0.00%,197
309m,0.73%,40,28m,0.24%,197
TIME:45.7417941093,CODE:0
STOP
310m,0.00%,41,28m,0.00%,198
310m,0.47%,41,29m,0.24%,198
311m,0.18%,41,29m,0.18%,198
311m,0.00%,41,29m,0.00%,198
311m,0.00%,41,29m,0.00%,198
311m,0.00%,41,29m,0.18%,198
311m,0.17%,41,30m,0.18%,198
34m,0.96%,41,31m,0.00%,198
34m,0.24%,41,31m,0.00%,198
38m,0.72%,41,31m,0.24%,198
40m,0.24%,41,31m,0.00%,198
44m,0.98%,41,31m,0.24%,198
46m,0.49%,41,32m,0.00%,198
50m,1.45%,41,32m,0.24%,198
51m,0.00%,41,32m,0.00%,198
57m,1.21%,41,32m,0.24%,198
58m,0.00%,41,32m,0.00%,198
62m,0.98%,41,32m,0.25%,198
63m,0.49%,41,33m,0.00%,198
67m,0.74%,41,33m,0.25%,198
68m,0.24%,41,33m,0.00%,198
73m,0.73%,41,33m,0.24%,198
75m,0.48%,41,33m,0.00%,198
79m,0.73%,41,34m,0.24%,198
82m,0.48%,41,34m,0.24%,198
86m,0.73%,41,34m,0.00%,198
91m,0.98%,41,34m,0.00%,198
97m,1.23%,41,34m,0.25%,198
102m,0.98%,41,35m,0.00%,198
107m,0.97%,41,35m,0.24%,198
109m,1.45%,41,35m,0.00%,198
113m,0.97%,41,35m,0.24%,198
115m,0.24%,41,35m,0.00%,198
119m,0.71%,41,35m,0.23%,198
121m,0.24%,41,36m,0.24%,198
124m,0.73%,41,36m,0.00%,198
127m,0.49%,41,36m,0.00%,198
130m,0.49%,41,36m,0.25%,198
133m,0.73%,41,36m,0.00%,198
134m,0.25%,41,36m,0.25%,198
137m,0.49%,41,37m,0.00%,198
140m,0.48%,41,37m,0.72%,198
TIME:45.7964320183,CODE:0
STOP
141m,0.00%,42,38m,1.24%,199
141m,0.24%,42,38m,0.23%,199
141m,0.08%,42,38m,0.08%,199
145m,0.35%,42,39m,0.52%,199
146m,0.46%,42,39m,0.94%,199
150m,0.48%,42,39m,0.24%,199
153m,0.47%,42,39m,0.00%,199
156m,0.95%,42,39m,0.24%,199
159m,0.48%,42,39m,0.24%,199
161m,0.73%,42,40m,0.00%,199
164m,0.73%,42,40m,0.00%,199
168m,0.73%,42,40m,0.24%,199
170m,0.25%,42,40m,0.24%,199
173m,0.97%,42,40m,0.00%,199
175m,0.49%,42,41m,0.25%,199
179m,1.45%,41,41m,0.00%,198
182m,0.49%,41,41m,0.24%,198
185m,1.71%,41,41m,0.00%,198
188m,1.67%,41,41m,0.24%,198
191m,0.73%,41,42m,0.00%,198
193m,0.24%,41,42m,0.72%,198
197m,0.73%,41,42m,0.00%,198
199m,0.49%,41,42m,0.24%,198
202m,0.73%,41,42m,0.24%,198
205m,0.73%,41,43m,0.24%,198
208m,0.49%,41,43m,0.00%,198
211m,0.48%,41,43m,0.24%,198
213m,0.71%,41,43m,0.00%,198
216m,0.48%,41,43m,0.48%,198
220m,0.74%,41,44m,0.00%,198
222m,0.49%,41,44m,0.25%,198
226m,0.74%,41,44m,0.25%,198
229m,0.49%,41,45m,0.00%,198
231m,0.25%,41,45m,0.00%,198
235m,1.23%,41,45m,0.00%,198
237m,1.21%,41,46m,0.00%,198
241m,0.74%,41,46m,0.25%,198
243m,0.49%,41,46m,0.25%,198
247m,0.49%,41,46m,0.00%,198
248m,0.24%,41,46m,0.49%,198
251m,0.47%,41,47m,0.00%,198
253m,0.49%,41,47m,0.24%,198
TIME:49.6293129921,CODE:0
STOP
254m,1.10%,42,48m,0.53%,199
254m,0.00%,42,48m,0.00%,199
254m,0.00%,42,48m,0.15%,199
254m,0.16%,42,48m,0.00%,199
256m,0.00%,42,48m,0.17%,199
256m,0.00%,42,49m,0.16%,199
256m,0.24%,42,49m,0.00%,199
262m,0.74%,42,49m,0.00%,199
262m,0.24%,42,49m,0.48%,199
266m,0.73%,42,49m,0.00%,199
268m,0.47%,42,49m,0.23%,199
272m,0.97%,42,50m,0.00%,199
272m,0.00%,42,50m,0.00%,199
277m,1.21%,42,50m,0.24%,199
279m,0.72%,41,51m,0.24%,198
283m,1.46%,41,51m,0.24%,198
285m,0.25%,41,51m,0.00%,198
289m,0.97%,41,51m,0.00%,198
290m,0.00%,41,51m,0.25%,198
295m,1.47%,41,52m,0.00%,198
295m,0.24%,41,52m,0.00%,198
300m,0.97%,41,52m,0.24%,198
301m,0.24%,41,52m,0.24%,198
35m,0.97%,41,52m,0.24%,198
38m,0.24%,41,53m,0.48%,198
42m,0.73%,41,53m,0.00%,198
43m,0.24%,41,53m,0.00%,198
48m,0.98%,41,53m,0.24%,198
49m,0.00%,41,53m,0.25%,198
54m,1.22%,41,53m,0.00%,198
55m,0.25%,41,54m,0.24%,198
59m,0.98%,41,54m,0.00%,198
61m,0.25%,41,54m,0.25%,198
65m,2.69%,41,54m,0.00%,198
66m,0.49%,41,54m,0.24%,198
70m,0.48%,41,54m,0.00%,198
72m,0.48%,41,55m,0.24%,198
76m,0.97%,41,55m,0.25%,198
78m,0.24%,41,55m,0.49%,198
82m,0.73%,41,55m,0.25%,198
83m,0.24%,41,55m,0.00%,198
88m,0.73%,41,56m,0.24%,198
91m,0.24%,41,56m,0.24%,198
92m,1.43%,41,56m,0.00%,198
96m,0.49%,41,56m,0.24%,198
97m,0.49%,41,56m,0.25%,198
TIME:50.4405510426,CODE:0
STOP
98m,0.00%,42,57m,0.54%,199
98m,0.17%,42,57m,0.00%,199
99m,0.00%,42,57m,0.17%,199
99m,0.00%,42,58m,0.00%,199
99m,0.00%,42,58m,0.33%,199
99m,0.17%,42,58m,0.51%,199
100m,0.00%,42,58m,0.00%,199
105m,1.21%,42,58m,0.00%,199
105m,0.00%,42,59m,0.00%,199
110m,1.45%,42,59m,0.00%,199
112m,0.24%,41,59m,0.24%,198
117m,0.73%,41,59m,0.24%,198
117m,0.48%,41,60m,0.00%,198
122m,0.98%,41,61m,0.00%,198
123m,0.24%,41,61m,0.48%,198
127m,0.95%,41,61m,0.00%,198
129m,0.24%,41,61m,0.24%,198
23m,3.84%,41,61m,0.00%,198
27m,0.00%,41,62m,0.00%,198
32m,1.19%,41,62m,0.24%,198
32m,0.00%,41,62m,0.00%,198
37m,0.98%,41,62m,0.00%,198
38m,0.25%,41,62m,0.24%,198
42m,0.73%,41,62m,0.00%,198
43m,0.24%,41,63m,0.24%,198
49m,0.96%,41,63m,0.24%,198
49m,0.24%,41,63m,0.00%,198
54m,0.73%,41,63m,0.25%,198
54m,0.24%,41,63m,0.00%,198
59m,0.98%,41,64m,0.25%,198
59m,0.00%,41,64m,0.00%,198
64m,0.73%,41,64m,0.25%,198
65m,0.24%,41,64m,0.00%,198
70m,0.95%,41,64m,0.00%,198
71m,0.99%,41,64m,0.25%,198
75m,0.74%,41,65m,1.47%,198
77m,0.24%,41,65m,0.24%,198
81m,0.97%,41,65m,0.00%,198
83m,0.25%,41,65m,0.24%,198
87m,0.98%,41,65m,0.25%,198
88m,0.00%,41,66m,0.00%,198
93m,0.98%,41,66m,0.00%,198
95m,0.49%,41,66m,0.24%,198
96m,0.24%,41,66m,0.25%,198
100m,0.98%,41,66m,0.00%,198
101m,0.24%,41,66m,0.24%,198
TIME:50.0613081455,CODE:0
STOP
102m,2.68%,42,67m,0.00%,199
103m,0.08%,42,68m,0.08%,199
104m,0.34%,42,68m,0.17%,199
107m,2.20%,42,68m,0.00%,199
109m,0.72%,42,68m,0.24%,199
112m,0.24%,42,68m,0.00%,199
116m,0.97%,41,69m,0.24%,198
118m,0.97%,41,69m,0.00%,198
121m,0.24%,41,69m,0.00%,198
125m,0.73%,41,70m,0.24%,198
127m,0.49%,41,70m,0.24%,198
130m,1.47%,41,70m,0.00%,198
132m,8.41%,41,70m,0.00%,198
135m,7.77%,41,70m,0.24%,198
139m,8.65%,41,71m,0.00%,198
140m,0.49%,41,71m,0.24%,198
144m,0.73%,41,71m,0.00%,198
147m,0.49%,41,71m,0.00%,198
150m,0.73%,41,71m,0.24%,198
153m,0.49%,41,72m,0.00%,198
156m,0.72%,41,72m,0.24%,198
158m,0.49%,41,72m,0.25%,198
162m,0.74%,41,72m,0.25%,198
163m,0.25%,41,72m,0.00%,198
168m,0.98%,41,72m,0.00%,198
172m,0.74%,41,73m,0.00%,198
175m,0.98%,41,73m,0.25%,198
179m,0.73%,41,73m,0.00%,198
181m,0.00%,41,73m,0.00%,198
185m,0.98%,41,73m,0.25%,198
190m,1.23%,41,74m,0.25%,198
191m,0.49%,41,74m,0.00%,198
195m,0.74%,41,74m,0.00%,198
197m,0.25%,41,74m,0.25%,198
202m,0.98%,41,75m,0.00%,198
207m,0.74%,41,75m,0.25%,198
208m,1.22%,41,76m,0.00%,198
209m,0.24%,41,76m,0.24%,198
214m,0.98%,41,76m,0.00%,198
214m,0.20%,41,76m,0.20%,198
TIME:46.8115489483,CODE:0
STOP
215m,0.00%,42,77m,0.00%,199
215m,0.00%,42,77m,0.16%,199
215m,0.17%,42,78m,0.17%,199
215m,0.00%,42,78m,0.00%,199
216m,0.00%,42,78m,0.00%,199
216m,0.17%,42,78m,0.17%,199
217m,0.00%,42,78m,0.00%,199
222m,1.20%,42,78m,0.24%,199
222m,0.00%,42,79m,0.00%,199
225m,3.40%,42,79m,0.24%,199
228m,0.48%,42,79m,0.24%,199
232m,0.93%,42,79m,0.00%,199
234m,0.72%,42,79m,0.72%,199
239m,0.97%,42,80m,0.24%,199
241m,0.00%,41,80m,0.00%,198
246m,0.98%,41,80m,0.00%,198
246m,0.24%,41,80m,0.24%,198
251m,0.98%,41,80m,0.00%,198
252m,0.00%,41,81m,0.24%,198
257m,1.22%,41,81m,0.25%,198
257m,0.00%,41,81m,0.00%,198
262m,1.23%,41,81m,0.00%,198
263m,0.00%,41,82m,0.00%,198
269m,2.45%,41,82m,0.25%,198
269m,0.00%,41,82m,0.00%,198
27m,1.23%,41,82m,0.25%,198
31m,0.74%,41,83m,0.25%,198
33m,0.24%,41,83m,0.00%,198
37m,0.73%,41,83m,0.00%,198
38m,0.00%,41,84m,0.23%,198
43m,1.21%,41,84m,0.25%,198
43m,0.00%,41,84m,0.00%,198
48m,0.73%,41,84m,0.00%,198
49m,0.24%,41,85m,0.24%,198
54m,0.98%,41,85m,0.25%,198
55m,0.24%,41,85m,0.00%,198
59m,15.85%,41,85m,0.00%,198
60m,4.77%,41,85m,0.24%,198
65m,1.21%,41,85m,0.24%,198
66m,0.24%,41,86m,0.00%,198
70m,0.74%,41,86m,0.00%,198
73m,0.25%,41,86m,0.25%,198
74m,0.25%,41,86m,0.00%,198
78m,0.74%,41,86m,0.25%,198
78m,0.25%,41,87m,0.00%,198
TIME:48.9205298424,CODE:0
STOP
79m,0.00%,42,87m,0.61%,199
80m,0.16%,42,88m,0.00%,199
80m,0.00%,42,88m,0.17%,199
80m,0.00%,42,88m,0.00%,199
80m,0.00%,42,88m,0.17%,199
81m,0.17%,42,88m,0.00%,199
82m,0.17%,42,89m,0.17%,199
87m,0.96%,42,89m,0.00%,199
87m,0.00%,42,89m,1.69%,199
90m,0.72%,42,89m,0.00%,199
92m,0.24%,42,89m,0.00%,199
