19m,0.00%,45,23m,0.00%,70
19m,0.00%,45,24m,0.00%,70
20m,0.00%,45,24m,0.24%,70
20m,0.00%,45,24m,0.00%,70
20m,0.24%,45,24m,0.00%,70
20m,0.00%,45,24m,0.24%,70
20m,0.00%,45,24m,0.00%,70
21m,0.48%,45,25m,0.00%,70
21m,0.24%,45,25m,0.24%,70
23m,0.73%,45,25m,0.00%,70
23m,0.00%,45,25m,0.24%,70
25m,1.45%,47,25m,0.25%,70
26m,0.25%,47,26m,0.00%,70
28m,0.49%,48,26m,0.25%,70
28m,0.00%,48,26m,0.00%,70
30m,0.49%,48,26m,0.49%,71
30m,0.49%,48,27m,0.00%,71
32m,0.25%,48,27m,0.25%,71
32m,0.25%,48,27m,0.00%,71
34m,0.49%,48,27m,0.00%,71
35m,0.24%,48,27m,0.24%,71
36m,0.49%,48,27m,0.00%,71
37m,0.25%,48,28m,0.25%,71
39m,0.98%,48,28m,0.00%,71
40m,0.24%,48,28m,0.24%,71
41m,0.00%,48,28m,0.00%,71
42m,0.24%,48,28m,0.24%,71
44m,0.49%,48,28m,0.25%,71
45m,1.23%,48,29m,0.00%,71
47m,0.98%,48,29m,0.00%,71
48m,1.22%,48,29m,1.48%,71
49m,0.49%,48,29m,0.00%,71
51m,0.73%,48,29m,0.00%,71
51m,0.25%,48,30m,0.48%,71
53m,1.69%,48,30m,0.49%,71
54m,0.00%,48,30m,0.00%,71
56m,0.24%,48,30m,0.00%,71
57m,0.98%,48,30m,0.24%,71
57m,0.25%,48,30m,0.49%,71
59m,0.25%,48,31m,0.00%,71
59m,0.25%,48,31m,0.25%,71
61m,0.49%,48,31m,0.00%,71
62m,0.25%,48,31m,0.25%,71
64m,0.24%,48,31m,0.00%,71
64m,0.49%,48,31m,0.24%,71
12m,0.49%,48,32m,0.25%,71
14m,0.25%,48,32m,0.00%,71
15m,0.25%,48,32m,0.00%,71
TIME:49.0804951191,CODE:0
STOP
15m,0.69%,48,33m,0.00%,72
15m,0.24%,48,33m,0.00%,72
16m,0.00%,48,33m,0.24%,72
16m,0.24%,48,33m,0.24%,72
16m,0.24%,48,33m,0.00%,72
17m,0.00%,48,34m,0.24%,72
17m,0.00%,48,34m,0.00%,72
17m,0.25%,48,34m,0.00%,72
17m,0.73%,49,34m,0.00%,72
20m,0.49%,49,34m,0.25%,72
20m,0.00%,49,34m,0.25%,72
22m,0.25%,49,35m,0.00%,72
22m,0.25%,49,35m,0.24%,72
24m,0.25%,49,35m,0.00%,72
24m,0.73%,49,35m,0.00%,72
26m,0.49%,49,35m,0.24%,72
26m,0.24%,49,35m,0.24%,72
28m,0.24%,49,36m,0.98%,72
29m,0.24%,49,36m,0.25%,72
31m,0.49%,49,36m,0.00%,72
31m,0.24%,49,36m,0.00%,72
33m,0.74%,49,36m,0.25%,72
34m,0.00%,48,36m,0.00%,72
36m,0.49%,48,37m,0.25%,72
36m,0.00%,48,37m,0.00%,72
38m,1.23%,48,37m,0.25%,72
40m,0.25%,48,38m,0.00%,72
42m,0.49%,48,38m,0.00%,72
42m,0.24%,48,38m,0.24%,72
44m,0.49%,48,39m,0.00%,72
45m,0.00%,48,39m,0.25%,72
47m,0.49%,48,39m,0.00%,72
49m,0.50%,48,39m,0.00%,72
50m,0.25%,48,39m,0.25%,72
52m,0.25%,48,40m,0.00%,72
53m,0.49%,48,40m,0.25%,72
54m,0.24%,48,40m,0.00%,72
55m,0.49%,48,40m,0.00%,72
58m,2.72%,48,40m,0.25%,72
59m,0.49%,48,40m,0.00%,72
60m,0.25%,48,41m,0.00%,72
61m,0.25%,48,41m,0.00%,72
62m,0.25%,48,41m,0.25%,72
63m,0.49%,48,41m,0.25%,72
63m,0.00%,47,41m,0.00%,72
TIME:45.7417941093,CODE:0
STOP
12m,0.00%,48,42m,0.00%,73
13m,0.00%,48,42m,0.00%,73
13m,0.00%,48,42m,0.24%,73
13m,0.24%,48,43m,0.24%,73
14m,0.24%,48,43m,0.00%,73
14m,0.24%,48,43m,0.00%,73
14m,0.00%,48,43m,0.00%,72
14m,0.00%,48,43m,0.24%,72
15m,0.24%,49,43m,0.00%,72
16m,0.49%,49,44m,0.24%,72
17m,0.24%,49,44m,0.00%,72
18m,4.65%,49,44m,0.00%,72
19m,0.50%,49,44m,0.25%,72
22m,0.49%,51,44m,0.00%,72
22m,0.24%,49,44m,0.00%,72
24m,0.24%,49,45m,0.24%,72
24m,0.00%,49,45m,0.00%,72
26m,0.74%,49,46m,0.00%,72
27m,0.00%,49,46m,0.24%,72
29m,0.73%,49,46m,0.00%,72
29m,0.24%,49,46m,0.24%,72
32m,0.25%,49,46m,0.00%,72
32m,0.00%,49,46m,0.24%,72
34m,1.47%,49,47m,0.00%,72
34m,0.00%,49,47m,0.00%,72
36m,0.74%,49,47m,0.49%,72
37m,0.24%,49,47m,0.00%,72
