67m,0.00%,39,42m,0.00%,196
67m,0.00%,39,43m,0.17%,196
68m,0.23%,39,43m,0.23%,196
68m,0.00%,39,43m,0.24%,196
68m,0.00%,39,43m,0.00%,196
69m,0.00%,39,43m,0.24%,196
69m,0.24%,39,44m,0.00%,196
69m,0.00%,39,44m,0.24%,196
69m,0.24%,39,44m,0.00%,196
69m,0.00%,39,44m,0.00%,196
70m,0.00%,39,44m,0.24%,196
70m,0.00%,39,45m,0.00%,196
70m,0.25%,39,45m,0.25%,196
70m,0.00%,39,45m,0.00%,196
70m,0.00%,39,45m,0.00%,196
71m,0.00%,39,45m,0.25%,196
71m,0.24%,39,46m,0.24%,196
71m,0.00%,39,46m,0.25%,196
71m,0.00%,39,46m,0.00%,196
71m,0.00%,39,46m,0.00%,196
72m,0.00%,39,46m,0.24%,196
72m,0.00%,39,47m,0.25%,196
72m,0.25%,39,47m,0.00%,196
72m,0.00%,39,47m,0.00%,196
72m,0.00%,39,47m,0.00%,196
73m,0.00%,39,48m,0.00%,196
73m,0.00%,39,14m,0.25%,196
73m,0.00%,39,14m,0.25%,196
73m,0.00%,39,14m,0.25%,196
73m,0.25%,39,14m,0.00%,196
74m,0.00%,39,14m,0.25%,196
74m,0.00%,39,14m,0.00%,196
74m,0.00%,39,15m,0.00%,196
74m,0.25%,39,15m,0.25%,196
74m,0.00%,39,15m,0.00%,196
75m,0.00%,39,15m,0.15%,196
75m,0.24%,39,15m,0.24%,196
75m,0.00%,39,16m,0.24%,196
75m,0.00%,39,16m,0.00%,196
76m,0.00%,39,16m,0.25%,196
76m,0.00%,39,16m,0.00%,196
76m,0.25%,39,16m,0.00%,196
76m,0.00%,39,17m,0.49%,196
77m,0.00%,39,17m,0.00%,196
77m,0.00%,39,17m,0.25%,196
77m,0.00%,39,17m,0.00%,196
77m,0.00%,39,17m,0.00%,196
77m,0.00%,39,18m,0.24%,196
78m,0.25%,39,18m,0.25%,196
78m,0.00%,39,18m,0.00%,196
TIME:52.1340069771,CODE:0
STOP
79m,0.00%,40,19m,0.53%,197
80m,0.00%,40,19m,0.00%,197
81m,0.46%,40,19m,0.46%,197
81m,0.00%,40,19m,0.00%,197
82m,0.00%,40,20m,0.24%,197
82m,0.00%,40,20m,0.00%,197
82m,0.00%,40,20m,0.00%,197
82m,0.24%,40,20m,0.24%,197
82m,0.00%,40,20m,0.24%,197
83m,0.00%,40,21m,0.00%,197
83m,0.00%,40,21m,0.25%,197
83m,0.00%,40,21m,0.00%,197
83m,0.00%,40,21m,0.00%,197
84m,0.24%,40,21m,0.24%,197
84m,0.00%,40,22m,0.24%,197
84m,0.00%,40,22m,0.00%,197
84m,0.00%,40,22m,0.00%,197
84m,0.00%,40,22m,0.00%,197
84m,0.25%,40,23m,0.25%,197
85m,0.00%,40,23m,0.00%,197
85m,0.00%,40,23m,0.24%,197
85m,0.00%,40,23m,0.25%,197
85m,0.25%,40,23m,0.00%,197
57m,0.25%,40,24m,0.24%,197
58m,0.00%,40,24m,0.00%,197
58m,0.00%,40,24m,0.00%,197
58m,0.00%,40,24m,0.25%,197
58m,0.00%,40,24m,0.25%,197
58m,0.00%,40,24m,0.00%,197
59m,0.25%,40,25m,0.00%,197
59m,0.00%,40,25m,0.17%,197
59m,0.00%,40,25m,0.25%,197
59m,0.00%,40,25m,0.00%,197
59m,0.22%,40,25m,0.00%,197
60m,0.00%,40,26m,0.24%,197
60m,0.00%,40,26m,0.00%,197
60m,0.25%,40,26m,0.24%,197
60m,0.00%,40,26m,0.00%,197
60m,0.00%,40,26m,0.00%,197
61m,0.00%,40,27m,0.25%,197
61m,0.00%,40,27m,0.00%,197
61m,0.24%,40,27m,0.24%,197
61m,0.00%,40,28m,0.00%,197
62m,0.24%,40,28m,0.24%,197
62m,0.00%,40,28m,0.25%,197
62m,0.00%,40,28m,0.19%,197
62m,0.00%,40,28m,0.00%,197
62m,0.25%,40,28m,0.25%,197
63m,0.25%,40,29m,0.00%,197
63m,0.00%,40,29m,0.25%,197
63m,0.25%,40,29m,0.00%,197
TIME:54.0188708305,CODE:0
STOP
64m,0.00%,41,30m,0.00%,198
64m,0.17%,41,30m,0.16%,198
65m,0.00%,41,30m,0.23%,198
66m,0.00%,41,30m,0.23%,198
67m,0.00%,41,31m,0.00%,198
67m,0.24%,41,31m,0.00%,198
67m,0.00%,41,31m,0.24%,198
67m,0.00%,41,31m,0.25%,198
68m,0.00%,41,31m,0.24%,198
68m,0.24%,41,32m,0.00%,198
68m,0.00%,41,32m,0.00%,198
68m,0.24%,41,32m,0.00%,198
68m,0.00%,41,32m,0.24%,198
69m,0.00%,41,33m,0.00%,198
69m,0.00%,41,33m,0.24%,198
69m,0.00%,41,33m,0.00%,198
69m,0.00%,41,33m,0.24%,198
69m,0.00%,41,33m,0.00%,198
70m,0.00%,41,33m,0.24%,198
70m,0.00%,41,34m,0.25%,198
70m,0.24%,41,34m,0.00%,198
70m,0.00%,41,34m,0.00%,198
71m,0.00%,41,34m,0.25%,198
71m,0.00%,41,34m,0.00%,198
71m,0.25%,41,35m,0.00%,198
71m,0.00%,41,35m,0.24%,198
71m,0.00%,41,35m,0.25%,198
72m,0.00%,41,35m,0.00%,198
72m,0.00%,41,35m,0.00%,198
72m,0.25%,41,35m,0.25%,198
72m,0.00%,41,36m,0.25%,198
72m,0.00%,41,36m,0.00%,198
72m,0.00%,41,36m,0.00%,198
73m,0.25%,41,37m,0.25%,198
73m,0.00%,41,37m,0.14%,198
73m,0.00%,41,37m,0.00%,198
73m,0.00%,41,37m,0.24%,198
73m,0.25%,41,37m,0.00%,198
74m,0.25%,41,37m,0.24%,198
74m,0.00%,41,38m,0.00%,198
74m,0.00%,41,38m,0.25%,198
75m,0.00%,41,38m,0.00%,198
75m,0.00%,41,38m,0.24%,198
75m,0.00%,41,38m,0.25%,198
75m,0.00%,41,39m,0.17%,198
75m,0.25%,41,39m,0.24%,198
76m,0.00%,41,39m,0.00%,198
76m,0.00%,41,39m,0.00%,198
76m,0.00%,41,40m,0.25%,198
76m,0.25%,41,40m,0.00%,198
77m,0.00%,41,40m,0.00%,198
TIME:53.9819672108,CODE:0
STOP
77m,0.00%,42,41m,0.00%,199
78m,0.00%,42,41m,0.22%,199
79m,0.18%,42,41m,0.00%,199
79m,0.00%,42,42m,0.47%,199
79m,0.00%,42,42m,0.00%,199
82m,0.23%,41,43m,0.23%,198
82m,0.00%,41,43m,0.00%,198
83m,0.00%,41,43m,0.00%,198
84m,0.24%,41,44m,0.24%,198
84m,0.00%,41,44m,0.00%,198
84m,0.24%,41,44m,0.24%,198
84m,0.00%,41,44m,0.24%,198
85m,0.00%,41,44m,0.00%,198
85m,0.00%,41,44m,0.25%,198
85m,0.00%,41,45m,0.00%,198
85m,0.00%,41,45m,0.00%,198
85m,0.00%,41,45m,0.24%,198
85m,0.24%,41,45m,0.00%,198
86m,0.00%,41,45m,0.24%,198
57m,0.24%,41,46m,0.00%,198
57m,0.00%,41,46m,0.24%,198
58m,0.00%,41,46m,0.00%,198
58m,0.00%,41,46m,0.00%,198
58m,0.00%,41,47m,0.25%,198
58m,0.00%,41,47m,0.00%,198
58m,0.25%,41,47m,0.25%,198
59m,0.00%,41,47m,0.25%,198
59m,0.00%,41,47m,0.00%,198
59m,0.00%,41,48m,0.00%,198
59m,0.00%,41,14m,0.24%,198
59m,0.24%,41,14m,0.00%,198
60m,0.00%,41,14m,0.25%,198
60m,0.00%,41,14m,0.00%,198
60m,0.00%,41,14m,0.00%,198
60m,0.00%,41,14m,0.25%,198
61m,0.00%,41,15m,0.25%,198
61m,0.00%,41,15m,0.00%,198
61m,0.25%,41,15m,0.00%,198
61m,0.00%,41,15m,0.24%,198
62m,0.00%,41,15m,0.00%,198
62m,0.24%,41,16m,0.24%,198
62m,0.00%,41,16m,0.24%,198
62m,0.00%,41,16m,0.00%,198
63m,0.00%,41,16m,0.00%,198
TIME:46.2557489872,CODE:0
STOP
63m,0.00%,42,17m,0.00%,199
64m,0.00%,42,17m,0.00%,199
65m,0.22%,42,17m,0.22%,199
65m,0.24%,42,17m,0.00%,199
65m,0.00%,42,18m,0.48%,199
65m,0.00%,42,18m,0.00%,199
66m,0.00%,42,18m,0.24%,199
66m,0.00%,42,18m,0.00%,199
66m,0.00%,42,18m,0.24%,199
66m,0.00%,42,19m,0.00%,199
66m,0.00%,42,19m,0.00%,199
67m,0.24%,42,19m,0.24%,199
67m,0.00%,41,20m,0.24%,198
67m,0.00%,41,20m,0.00%,198
67m,0.00%,41,20m,0.00%,198
68m,0.24%,41,20m,0.24%,198
68m,0.00%,41,21m,0.24%,198
68m,0.00%,41,21m,0.00%,198
68m,0.00%,41,21m,0.25%,198
68m,0.00%,41,21m,0.00%,198
70m,0.25%,41,21m,0.00%,198
70m,0.00%,41,22m,0.49%,198
70m,0.00%,41,22m,0.00%,198
70m,0.00%,41,22m,0.00%,198
70m,0.00%,41,22m,0.00%,198
71m,0.00%,41,23m,0.24%,198
71m,0.25%,41,23m,0.00%,198
71m,0.00%,41,23m,0.00%,198
71m,0.25%,41,23m,0.25%,198
72m,0.00%,41,24m,0.24%,198
72m,0.00%,41,24m,0.00%,198
72m,0.00%,41,24m,0.25%,198
72m,0.00%,41,24m,0.25%,198
72m,0.00%,41,24m,0.00%,198
73m,0.00%,41,24m,0.24%,198
73m,0.21%,41,25m,0.21%,198
73m,0.00%,41,25m,0.00%,198
73m,0.00%,41,25m,0.00%,198
73m,0.00%,41,25m,0.00%,198
74m,0.00%,41,25m,0.24%,198
74m,0.25%,41,26m,0.25%,198
74m,0.00%,41,26m,0.00%,198
74m,0.00%,41,26m,0.00%,198
75m,0.25%,41,26m,0.25%,198
75m,0.00%,41,26m,0.25%,198
75m,0.00%,41,27m,0.25%,198
75m,0.00%,41,27m,0.00%,198
76m,0.00%,41,27m,0.00%,198
76m,0.00%,41,27m,0.00%,198
76m,0.20%,41,27m,0.20%,198
TIME:52.0302128792,CODE:0
STOP
77m,0.00%,42,28m,0.00%,199
77m,0.00%,42,28m,0.00%,199
78m,0.23%,42,29m,0.23%,199
79m,0.00%,42,29m,0.00%,199
79m,0.00%,42,29m,0.24%,199
79m,0.24%,42,29m,0.00%,199
79m,0.00%,42,29m,0.24%,199
79m,0.00%,42,30m,0.00%,199
80m,0.00%,42,30m,0.49%,199
80m,0.00%,42,30m,0.00%,199
80m,0.25%,42,30m,0.00%,199
80m,0.00%,42,31m,0.00%,199
80m,0.00%,42,31m,0.00%,199
81m,0.00%,42,31m,0.24%,199
