24m,0.70%,45,16m,0.00%,70
24m,0.24%,45,16m,0.00%,70
25m,0.00%,45,16m,0.24%,70
25m,0.00%,48,16m,0.00%,70
25m,2.21%,49,17m,0.00%,70
26m,0.24%,49,17m,0.00%,70
26m,0.00%,49,17m,0.24%,70
26m,0.00%,49,17m,0.00%,70
27m,0.49%,50,17m,0.25%,70
27m,0.24%,50,17m,0.00%,70
28m,0.25%,49,18m,0.25%,70
28m,0.00%,49,18m,0.00%,70
29m,0.74%,50,18m,0.00%,70
30m,0.00%,50,18m,0.00%,70
30m,0.48%,49,18m,0.24%,70
30m,0.00%,49,18m,0.24%,70
31m,0.00%,49,19m,0.00%,70
31m,0.00%,49,19m,0.00%,70
31m,0.24%,49,19m,0.24%,70
31m,0.00%,49,19m,0.24%,70
32m,0.74%,50,19m,0.00%,70
32m,0.24%,50,20m,0.00%,70
33m,0.49%,50,20m,0.25%,70
33m,0.00%,50,20m,0.00%,70
33m,0.48%,50,20m,0.24%,70
34m,0.00%,50,20m,0.00%,70
34m,0.24%,49,21m,0.24%,70
34m,0.00%,49,21m,0.00%,70
35m,0.74%,50,21m,0.00%,70
35m,0.25%,50,22m,0.25%,70
36m,0.00%,50,22m,0.00%,70
36m,0.00%,50,22m,0.00%,70
37m,0.49%,50,22m,0.25%,70
37m,0.00%,50,22m,0.00%,70
37m,0.24%,50,22m,0.24%,70
37m,0.00%,50,23m,0.00%,70
38m,0.00%,49,23m,0.00%,70
38m,0.24%,49,23m,0.24%,70
14m,4.46%,51,23m,0.00%,70
26m,4.22%,51,23m,0.25%,70
39m,4.70%,51,23m,0.00%,70
18m,4.96%,51,24m,0.00%,70
31m,4.70%,51,24m,0.00%,70
31m,0.25%,49,24m,0.24%,70
31m,0.00%,49,24m,0.00%,70
32m,0.25%,51,24m,0.00%,70
45m,4.70%,51,25m,0.00%,70
16m,3.97%,51,25m,0.25%,70
26m,4.69%,51,25m,0.00%,70
35m,5.21%,51,25m,0.00%,70
36m,0.49%,49,25m,0.25%,70
TIME:52.1340069771,CODE:0
STOP
37m,0.00%,47,26m,0.00%,71
37m,0.24%,47,26m,0.24%,71
38m,0.24%,51,26m,0.00%,71
38m,0.00%,51,26m,0.24%,71
38m,0.00%,51,27m,0.00%,71
38m,0.00%,51,27m,0.00%,71
38m,2.89%,51,27m,0.24%,71
39m,0.25%,51,27m,0.00%,71
39m,0.00%,51,27m,0.24%,71
39m,0.00%,51,27m,0.25%,71
39m,0.24%,51,28m,0.00%,71
39m,0.00%,51,28m,0.00%,71
40m,0.00%,51,28m,0.00%,71
40m,0.48%,51,28m,0.24%,71
40m,0.00%,52,28m,0.00%,71
40m,0.00%,52,29m,0.24%,71
40m,0.24%,52,29m,0.24%,71
41m,0.00%,52,29m,0.00%,71
41m,0.24%,52,29m,0.00%,71
41m,0.24%,52,29m,0.24%,71
42m,0.98%,53,29m,0.00%,71
42m,0.00%,53,30m,0.25%,71
43m,0.24%,53,30m,0.24%,71
43m,0.24%,53,30m,0.00%,71
43m,0.24%,53,30m,0.00%,71
43m,0.00%,53,30m,0.00%,71
44m,0.24%,52,30m,0.24%,71
44m,0.00%,52,31m,0.00%,71
45m,0.49%,53,31m,0.25%,71
45m,0.00%,53,31m,0.25%,71
46m,0.25%,52,31m,0.00%,71
46m,0.00%,52,31m,0.00%,71
46m,0.24%,52,31m,0.24%,71
46m,0.00%,52,32m,0.00%,71
47m,0.24%,52,32m,0.00%,71
47m,0.00%,52,32m,0.24%,71
47m,0.00%,52,32m,0.00%,71
16m,3.70%,54,32m,0.25%,71
25m,4.98%,54,33m,0.00%,71
35m,4.20%,54,33m,0.25%,71
39m,4.71%,54,33m,0.00%,71
43m,4.21%,54,33m,0.00%,71
44m,0.25%,52,33m,0.00%,71
44m,0.24%,52,34m,0.00%,71
44m,0.00%,52,34m,0.24%,71
44m,0.24%,52,34m,0.24%,71
15m,1.73%,54,35m,0.25%,71
26m,4.48%,52,35m,0.00%,71
27m,1.73%,54,35m,0.00%,71
31m,4.46%,54,35m,0.00%,71
44m,4.46%,54,35m,0.00%,71
19m,3.71%,52,35m,0.00%,71
TIME:54.0188708305,CODE:0
STOP
20m,0.78%,49,36m,0.00%,72
20m,0.00%,49,36m,0.00%,72
21m,0.00%,55,37m,0.24%,72
22m,0.49%,56,37m,0.00%,72
22m,0.49%,56,37m,0.00%,72
23m,0.00%,56,37m,0.25%,72
